#tail	head
SLC27A5	SLC38A1
SFPQ	SNRPD1
BATF3	CEBPA
IQGAP1	SNRPD1
MRPS9	MRPL32
MRPL46	MRPL39
TIAL1	INCA1
GCK	NUP155
MYBPC3	APP
TPM1	TRPC7
SQSTM1	EPAS1
SQSTM1	STOML2
SQSTM1	MPRIP
SQSTM1	PRKAG1
CRX	RPA3
CRX	PRKAG1
CRX	C1orf50
SNRPD1	NPM1
SNRPD1	RBM25
SNRPD1	ISY1
GUK1	ADCY4
CCT2	ACTBL2
CSNK1A1L	RPA3
WRNIP1	SRSF4
PSMC5	XPC
PIK3C3	IGKV2-29
PIK3C3	PRKAG1
RPA3	PBX1
ELAVL2	SRSF4
FAF2	ARF3
NUP62CL	DVL2
OGA	PHAX
OGA	CCT4
OGA	NPM1
OGA	NDE1
OGA	RBM25
OGA	PDS5A
OGA	CEP55
OGA	STOML2
MRPL15	MRPS21
MRPL15	MRPL36
CCT4	PDCL3
NWD1	STOML2
TCTN2	NINL
TCTN2	BET1
TCTN2	RABL3
TCTN2	NDE1
MRPS33	MRPL53
MRPS21	MRPL53
DVL2	IGKV2-29
PBX1	ZNF711
ATP1B3	PEA15
TAS2R41	SERPINB1
SRRT	RBM25
INCA1	C1orf50
STOML2	APP
FBF1	APP
FBF1	CEP55
NPM1	AURKB
NPM1	XPC
CEBPA	ZIC1
ADCY4	ACSM3
MRPL32	MRPL39
LRRK2	AURKB
IGKV2-29	HCK
PDS5A	AURKB
ZIC1	HCST
ZIC1	PAX3
AURKB	APP
RIOK1	SRSF4
RIOK1	APP
DUSP3	HCK
PCDHGC3	ACTBL2
