#tail	head
BMP7	SMAD3
SMAD3	CTNNB1
SMAD3	HSPA8
SMAD3	RANBP9
TOP2A	CFTR
ARCN1	BET1L
JUP	AR
CDK7	KAT5
CDK7	TCF12
RALA	REPS2
RAD50	USP7
RAD50	POLR2C
RAD50	POLQ
LMO1	BANP
NUP62	PIN1
DNM1	PYGM
SF3B2	CUL3
SF3B2	RBM8A
PKM	CUL3
PKM	LARS2
SMC1A	HIST1H3G
RBM8A	PLRG1
CCDC84	DCAF5
LARS2	PDK1
PRKAR2A	ADCY9
CDC14C	PYGM
YY1	SRRM2
EFNA1	ABI1
ADCY9	TMEM54
GPD1	PARP2
RNPS1	SRPK2
RNPS1	CTNNB1
MTA1	AR
BMP5	CHRDL2
CBL	CTNNB1
NAPA	RAE1
HIST1H2BE	POLR2C
POLR2C	USP7
POLR2C	EHBP1L1
MOCS1	MAT2A
RANBP9	HBP1
RAE1	CUL3
KCNK3	RPS6KA3
HDAC4	CTNNB1
CFTR	CTNNB1
POLQ	KAT5
BANP	FAM222B
MAT2A	PYGM
MAT2A	TRMT5
CUL3	SLC16A1
ILF2	SRRM2
HIST1H3G	SRRM2
SRRM2	HSPA8
COPS2	AR
