#tail	head
POGLUT1	GALNT4
LCP2	ZMYM2
LCP2	IGLC2
CDC42	DDIT4L
SFPQ	PFKL
UGT1A4	B4GALT3
HNRNPH1	EIF3M
MRPS9	MRPL45
RPP25	RPS18
MSX1	DNAJB4
DGKH	INS
FOXN1	SLC25A40
DLST	DLAT
KRT80	KRT25
KRT80	KRT15
TPM1	INS
GCNT4	UGT1A7
PIP4K2C	IRAK1
IGHM	FGF23
MPC1	MAX
SUCLG2	GCAT
CD79A	RPL23
UGT1A8	EXTL3
B4GALT7	PIGY
MGAT3	B3GALT6
MYL7	DDIT4L
ALPP	UGT1A7
ASB9	COMMD8
IRAK1	HLA-A
UBR5	UBC
ACADM	SUCLA2
UGT2A3	PIGC
MCOLN3	CALM1
MOV10	MRPL22
PLA2G4B	ALAS2
HNRNPCL2	C2orf78
ANK3	CAPZA2
EXTL3	LMO2
ITK	LAT
EPSTI1	BCAR3
GABRB1	GABRB3
PTPN6	CDK7
VTA1	DLD
DDX17	RNF31
SAT1	EIF3D
MAX	NGB
UBC	GPR143
YES1	SEPT7
YES1	BCAR1
HSPD1	RPL18
CALM1	CUL1
DNAJB4	ABHD15
ARFIP2	REEP5
COMMD8	BOLA1
STUB1	SOD1
CAPZA2	PSMG1
ETNPPL	DLD
GUCY1A1	INS
