#tail	head
SNRPB	HNRNPF
ST6GAL1	B4GALT2
PIK3R1	EPS8
HNRNPA3	NR5A1
TUBA8	SLC7A6OS
PEX10	PEX7
KLC4	KLC3
GNL2	ESR1
ACTB	MICALL1
ACTB	HSD17B4
ACTB	ALB
HNRNPF	SART1
ITGB5	COL4A6
CITED2	RFX1
DAZAP2	KRTAP8-1
FOSL2	SOX4
SMC3	HIST1H4I
TNC	TGFB3
ZBTB14	CUL5
HDAC1	HIST1H4D
PAX6	RFX1
CYFIP2	IGHV4-34
NDUFB11	FATE1
GNG10	ESR1
LAMB2	COL4A6
FOXF2	BMP4
FOXF2	WDR46
PEX7	PEX5
MED18	CEBPA
TLE3	SMAD3
FSCN1	CNN2
HIST1H4I	MRGBP
TP53	CNN2
AAGAB	FAM177A1
UQCRC1	UBL4A
UBB	PSMA3
RFX1	SDCBP2
PSMA3	RAB3IL1
RRBP1	OGA
TMEM102	ZC3H3
HSBP1	COL4A6
SKP1	CUL5
EPS8	PDGFB
EPS8	TANK
EIF2S1	SEPT2
SUOX	C5orf51
JUN	MFAP1
JUN	RAB1A
HIST1H4D	SMC4
FBH1	ESRRA
UBL4A	CDCA7L
MXI1	ESR1
CCDC167	TMEM56
CCDC167	EBP
ESRRA	RPS14
ESRRA	FHL1
ESRRA	NR1I3
IGF1	HMOX1
IGF1	NCOA3
ZFP1	HOOK2
FUT4	CR1
CRKL	RELN
COL4A6	ITGB2
