#tail	head
PDE7A	NME1-NME2
STIM1	VDAC1
STIM1	MSL1
ALDH7A1	UEVLD
TRIM28	ZNF460
TRIM28	FES
TRIM28	HIST1H4A
PLOD2	COL6A3
NR1I2	SIRT1
NR1I2	STAT5A
HIST1H2BA	MORF4L1
RXRA	ALDH1A3
RBCK1	UEVLD
HIST1H4A	MORF4L1
HIST1H4A	CENPK
HIST1H4A	CENPE
HIST1H4A	FHIT
MAPK9	DUSP27
MCC	ERBIN
MCC	NR3C1
MCC	GANAB
MCC	COPS6
DDA1	COPS6
FES	NR3C1
SPAG5	SLC9C1
ZNF785	ZNF460
SIRT1	VDAC1
INTS6L	MAPK14
ATP6V0A2	LGALS8
ATP6V0A2	AK5
CLCN7	OPRM1
CLCN7	SLC38A7
CENPK	RPS27
CENPK	CENPE
VDAC1	PDHA1
NME4	ADH1A
MAPK14	ELK1
MAPK14	STAT5A
MAPK14	DUSP27
TM7SF2	NADK
DHX36	CAND1
RDH11	HTR3C
NUDT5	PPCS
DAB2IP	STAT5A
CEPT1	AK5
CEPT1	ST3GAL6
COL6A3	ACTN4
FHIT	PPCS
SLC9C1	FXYD2
RPS27	ACTN4
UBASH3B	EWSR1
NR3C1	COLQ
CDK9	INTS5
YWHAE	PRPS1
