#tail	head
NELFA	ELOA3B
COX4I2	CYCS
ATP2B4	RASGRP4
ATP2B4	GNAI1
TNIP2	MIF
SPATA24	SUV39H1
TINF2	YWHAG
UBE2Q2	UBA52
UBE2Q2	UBA1
ODF2	NPHP1
ODF2	HSBP1
ODF2	APP
ODF2	UBA1
MAPK6	UBA52
MAPK6	PIH1D1
DNAJA1	MKS1
CASP1	CYP2A6
MKS1	CDK5RAP2
MKS1	NPHP1
MKS1	YWHAG
ELOA3B	ATR
NXF1	HAUS2
C7orf50	PIH1D1
UBA1	UBA52
ADGRL1	DLG3
RNF220	UBA52
ALDH1B1	JUN
VPS35	RNF4
BORCS6	HSBP1
CHL1	GSTT1
MIF	PIH1D1
GYPA	ATR
FKBP10	PPP1R7
FKBP10	SLX1A
GSTT1	AS3MT
SUV39H1	MCMBP
PIH1D1	PPP1R7
PIH1D1	PFKP
PRRC2A	JUN
YWHAG	CDK5RAP2
YWHAG	HAUS2
UBA52	JUN
UBA52	SLX1A
UBA52	RNF4
UBA52	UBASH3A
PDHA1	APP
PDHA1	ABCE1
ATR	STAG3
TCAF2	FLRT1
MCMBP	PFKP
NPHP1	HAUS2
CYP2A6	CHRNA3
CYP2A6	CYCS
APP	RASGRP4
APP	GNAI1
APP	ALK
RASGRP4	ITPR3
