#tail	head
EPX	HMGCS2
RDH10	ADH1B
RDH10	ALDH6A1
OTUD4	ESR2
MORC2	AGPAT5
SFPQ	ATP6V1A
SFPQ	ACAT1
SFPQ	GNAI2
SFPQ	ACLY
UGT1A3	CYP1A1
BTG2	ESR1
YJU2	ZNF526
SP3	ELK1
SP3	ESR1
SNW1	ESR1
SOD2	CYP1A1
ALDH6A1	CRAT
CREBBP	CYP1A1
CREBBP	REL
CREBBP	LYN
CREBBP	ESR1
ALDH2	NADSYN1
ZNF774	ZNF526
CYP1A1	HCAR3
GCLM	NRXN1
GCLM	PREPL
ZNF587	MEOX2
PIP4K2B	TYROBP
TM9SF1	ESR2
NRXN1	PTPRT
ACLY	AGPAT5
ACLY	LPGAT1
MEOX2	ESR1
OXSM	NADSYN1
SST	ESR1
FGFR1	ESR2
FGFR1	LYN
FGFR1	HSP90AA1
INPP5J	PIP4K2A
INPP5J	ESR2
INPP5J	FGF1
ESR1	PIP4K2A
ESR1	CYFIP2
ESR1	GALK1
GNAI2	ESR2
GNAI2	HSP90AA1
AK5	NADSYN1
TYROBP	FGF1
REL	POGK
CYFIP2	FGF1
CYFIP2	HSP90AA1
