#tail	head
EPHA1	SRC
GGNBP2	PCBP1
FKBP7	UPK1B
WIPF1	FASTK
SETD1A	FARP1
USP17L29	SUDS3
EIF6	TALDO1
NR2F2	SP1
SMARCA5	INS
FBXL7	COMMD3
PELP1	EBNA1BP2
COPS6	PAAF1
ACTB	HIST1H2AL
DHPS	BYSL
SNCB	PLK2
ZNF48	ESR2
RAB11A	CEP70
SP1	KLF6
SP1	DNAJC4
SP1	KTN1
SP1	DERA
SP1	VWCE
MCF2	RAC1
FBN2	INS
GRK5	EIF3A
SOX9	EIF3A
ASPHD2	ADAM32
DHX15	PAX4
PDE1B	GPR161
NACA4P	HLA-B
ESR2	CRH
ESR2	NPEPPS
ESR2	GNG3
ESR2	TIMP3
ESR2	NDE1
RARG	HIST2H2BE
BMP2	GRM4
ZNF408	TOP3B
ZNF408	FBLN5
ELAVL1	CDK6
ELAVL1	AES
ELAVL1	FAM83F
TACR1	RDH14
MTAP	TALDO1
C5AR2	EVI5L
ANAPC7	PSMA8
PIN1	SNCAIP
IGFBP2	EGFR
BTBD6	UBA7
GHRH	PTK2
AHI1	PPP2CA
RHOT1	COQ9
ARFGEF2	HLA-B
HOXB5	INS
PTK2	LPL
PTK2	MMP2
SRC	CD2AP
NPM1	PHGDH
PRKACG	RYR2
CAMK1	PPP2CA
INS	PHF19
INS	PRKAR2B
