#tail	head
CDK20	SLC9A6
FASLG	PRMT2
FASLG	TYK2
ACER3	SGPP1
MIF	RUNX1T1
MIF	INS
MIF	SIAE
EID2	EP300
DLST	PCMT1
DLST	AANAT
DLST	HNF4A
DLST	AHCY
KHDRBS2	CGB8
KHDRBS2	HSD17B1
CD80	IGKV3-11
CD80	ERBB4
CD80	TGFA
CD80	TAF1
AHCY	PRKACA
AHCY	SDC4
AHCY	GNAI3
DGKG	IGKV3-11
PIK3C2G	TGFA
IL20RB	CTDNEP1
DPH6	HNF4A
TYK2	IL2RG
TYK2	TGFBR2
FOSL2	KBTBD6
FOSL2	HNF4A
FOSL2	INS
SDC4	PRKACA
SDC4	KERA
POU2F1	PRKACA
POU2F1	SSX9P
POU2F1	RXRA
POU2F1	ERBB4
POU2F1	EIF1AX
POU2F1	MCC
POU2F1	LLGL2
POU2F1	PROKR2
POU2F1	TAF1
CYP2B6	CCL4
CYP2B6	HNF4A
NMU	NMUR2
NMU	GNA14
CYP7A1	INS
CGB8	IL1RN
CGB8	INS
CGB8	HSD17B1
CGB8	EP300
CGB8	LLGL2
CGB8	HNF4A
CGB8	PRKACA
CHST10	SLC25A24
CCDC59	TRAF6
PCDHA5	ERBB4
TRAF6	DCBLD2
RRAGA	GATA1
RRAGA	TAF1
SLC22A9	ERBB4
RNF167	INS
HSD17B1	FOXM1
HSD17B1	CGB3
HSD17B1	EP300
HSD17B1	IL1RN
TGFA	FOXM1
GNA15	PRKACA
GNA15	CCL4
LRRC6	SSX9P
STON2	ACTC1
STON2	PRKACA
STON2	GNAI3
EP300	FOXM1
EP300	KLF5
RXRA	KLF5
PRKACA	FOXM1
PRKACA	TBXA2R
PRKACA	LLGL2
PRKACA	CGB3
DDI1	UBE2K
TGFBR2	ACVRL1
GNAI3	HNF4A
GNPDA1	INS
SRA1	SPEN
SRA1	GATA1
CGB3	LLGL2
CGB3	HNF4A
NMUR2	GNA14
SIAE	GFPT2
PLB1	AANAT
RIPK2	TAF1
TAF1	CCL4
