#tail	head
SMAD2	SOX9
NXF2B	ZC3HC1
SHANK1	MAX
GSTM4	EPHX1
GSTM4	CYP1A2
CEP192	PPP1CA
CEP192	HSP90AA1
ATN1	RBFOX2
ARNT	TWIST1
ARNT	PER1
ARNT	HGF
ARNT	PPP1CA
PER1	PPP1CA
SOX9	DLG2
SLC6A11	SLC5A11
TYK2	CCL2
TYK2	STAT6
TYK2	PTPRQ
TYK2	HNRNPL
HSF2	IGF2
HSF2	KLRC3
FXYD7	ATP1B1
ATP1B1	ATP1B2
ATP1B1	MTHFD1
EZR	SMN1
EZR	FOXA1
EZR	TPD52
EZR	PTPRQ
EZR	OCRL
FOXA1	SEZ6L2
FOXA1	TWIST1
HNRNPL	PLEC
HNRNPL	TP53
HNRNPL	LTBR
HNRNPL	IGF2
GPR150	GNG11
TP53	DHRS4
TP53	NAPG
TP53	GYG2
TP53	KAT2B
TP53	DLG2
TP53	PPP1CA
TP53	MAX
OCRL	MTHFD1
OCRL	GNG11
DMPK	HSP90AA1
TUBA1A	PPP1CA
TUBA1A	SMN1
AOC3	CYP1A2
AOC3	AGXT
AOC3	SMS
TWIST1	MAX
ATXN1	PRRC2B
PPARG	CYP1A2
PPARG	ATP6V1C1
PPARG	STAT6
PPARG	HGF
CD151	PLEC
ACIN1	DLD
KCNJ3	GNG11
SEC23B	PPP1CA
SEC23B	CLNS1A
SEC23B	HSP90AA1
SEC23B	NAPG
SEC23B	C10orf88
SEC23B	SMN1
MED19	SMN1
EPHX1	UGT2B7
EPHX1	GSTM5
CLNS1A	SMN1
ADH1C	UGT2B7
RBFOX2	TIMM29
MAX	PFKP
NXF1	ALDOC
DHRS4	MGST1
NAPG	HSP90AA1
GSTM5	CYP1A2
ATP1B2	DLG2
ATP1B2	KCNB2
PFKP	UGT2B7
PPP1CA	SMN1
PPP1CA	PCNA
PPP1CA	MAL2
SLC16A10	TOR1AIP2
CCL2	HGF
SMN1	DLD
CSTF1	PCNA
CSTF1	DLD
AGXT	DLD
HSP90AA1	GNG11
