#tail	head
PTPN5	ATP5F1C
PTMS	CREBBP
SDCBP	LZTFL1
SDCBP	ZNF148
SDCBP	TNIP2
TNIP2	BHLHE40
TNIP2	ATP5PD
TNIP2	PSMD4
TNIP2	PPP1CB
TNIP2	KIF20A
TNIP2	TUBB3
TNIP2	CALM3
UPF2	PPP2CA
UTP14A	BOP1
UTP14A	EED
UTP14A	APP
HAP1	DNAL4
ZBTB42	TRIM68
WEE2	PTPRS
CREBBP	HIST1H4H
STRAP	PLCG1
UBE3A	JADE1
UBE3A	PSMD4
UBE3A	TDRD1
UBE3A	CALM3
RHOQ	INPP5B
ZBTB48	ZC3HAV1
ATP5F1C	SOAT1
ATP5F1C	VDAC1
HIST1H2BL	RNF2
SUCLG1	TPTE
HLA-DQB1	PLCG1
HIST2H2AB	HIST1H4H
HIST2H2AB	RNF2
CALM3	RNF2
NUBP2	PSMD4
SGPP2	MTAP
PPP2CA	PSMD4
PPP2CA	DNMT1
KRTAP9-8	WDYHV1
WDR6	RNF2
VDAC1	ICAM1
MTAP	INPP5B
RNF2	HIST1H4H
RNF2	SON
RNF2	KIF20A
RBBP4	GABARAP
RBBP4	HAT1
APP	HIST1H4H
APP	HOXD13
RPL35A	BRIX1
BRIX1	ZC3HAV1
BRIX1	MDN1
GEMIN7	EDRF1
SART3	NOC4L
WDYHV1	LCE1D
CUL2	PSMD4
CUL2	EDRF1
HLA-DQB2	KIF2B
HIST1H4H	EED
BAP1	PSMD4
ATP2B2	BTBD9
TUBB3	GABARAP
