#tail	head
ZNF417	TRIM54
KLRC2	ZMYM2
KLRC2	KLRD1
KLRC2	IGHV2-5
KLRC2	BRK1
MED18	HNF4A
IGHV3-33	BRK1
IGHV3-33	NCKAP1
NCKAP1	ZMYM2
NCKAP1	BAIAP2
HIST1H3C	ZMYM2
HIST1H3C	MYOD1
PSMB5	SKP1
FLNA	SQSTM1
HNF4A	MED23
HNF4A	MAPK8
HNF4A	ACLY
PDPK1	KLRD1
PDPK1	ZMYM2
PDPK1	IGHV2-5
OGA	UIMC1
GNG8	IGHV2-5
GNG8	BRK1
ACLY	SQSTM1
SQSTM1	XRCC6
MYOD1	GRB2
MYOD1	SKP1
SRPK2	BAIAP2
IGKV1D-16	BAIAP2
IGKV1D-16	BRK1
GRB2	ERBB3
GRB2	KLRD1
GRB2	ZMYM2
GRB2	SPRY2
ERBB3	PTPRT
MAPK8	NFKBIA
IGHV2-5	ZMYM2
IGHV2-5	BRK1
PCTP	PAX3
PAX3	ZMYM2
ZMYM2	BRK1
ZMYM2	KLRD1
RSRC2	MED23
BAIAP2	KLRD1
