#tail	head
FBXW4	RUVBL1
PKLR	PCNA
GMPR	MAOB
PIK3R5	GNG13
FOS	FSHB
FOS	EEF1D
FOS	CREBBP
TRIM28	HIST1H4B
TRIM28	HIST1H4A
TRIM28	UBE2C
TRIM28	MYC
MAPK3	PTPRO
MAPK3	CREBBP
SLC25A19	ATP6V1G3
UBE2F	KLHL2
GNG13	GNG10
HIST1H4A	XPC
CTAG1B	SGTA
CREBBP	FSHB
CREBBP	TTF1
TFIP11	SGF29
HIST1H4B	EYA4
MYC	HIST1H4C
MYC	HIST1H4J
MYC	SLC36A1
MYC	GEMIN5
ING3	HIST1H4J
NOTCH2NLA	DBH
SLC36A1	SLC38A2
RANBP6	TNFSF13B
MAGEA11	NCOA2
PPBP	SLC47A1
PPBP	GNG10
SLC1A5	BBC3
JADE2	CCP110
RUVBL1	TFPT
RUVBL1	HIST1H4C
AGTR2	GNAI3
KCTD12	ZBTB14
NME3	ATP6V1G3
NOX5	GPX5
KANSL2	HIST1H4C
SGTA	MTUS1
SGTA	SGF29
CACNA1B	HYAL1
IGKV1D-16	GNG10
GNAI3	CANX
GNAI3	GNG10
IDUA	TNFSF13B
TTF1	HIST1H4J
TTF1	GTF2H5
TFPT	MCRS1
TPST2	EYA4
KLHL2	IMPDH1
SLC23A1	DBH
STX5	CANX
NCOA2	CD3D
NCOA2	HIST1H4C
NCOA2	HIST1H4J
CD3D	CANX
