#tail	head
ESRP1	ITGB3
PLA2G4A	CACNA1S
CAST	SART3
N4BP2	EGLN3
FOXO4	KLF3
FOXO4	SMG1
RC3H1	RPL22
RTN4RL1	POU1F1
RTN4RL1	PITX2
BMP3	SMAD9
UBE2V1	TRAF6
ACVRL1	ACVR1B
DMAC2	HNRNPL
TROVE2	JUN
ZBTB48	CEP70
SMAD9	JUN
FAM53C	PITX2
SH3PXD2A	HNRNPL
LPXN	GIT1
COMMD1	SPSB1
PIH1D1	UBAP2L
CACNG8	CALM1
RPL41	JUN
HMGA1	JUN
SMAD5	RYR2
COPS7A	COMMD5
COPS7A	CUL3
CTBP1	HNRNPL
PITX2	POU1F1
SPSB1	COPS2
CALM1	ARHGEF7
CCDC22	CUL3
UBAP2L	JUN
UBAP2L	HNRNPL
CSNK1E	CEP70
CSNK1E	PPP2R5B
CSNK1E	SSNA1
CSNK1E	JUN
ITGB3	GIT1
HIST1H4H	CUL3
TFB2M	GABPB1
TFB2M	CUL3
ZFPM1	ITGA2B
EGLN3	CIAO1
GIT1	ARHGEF7
GIT1	ITGA2B
RPF2	JUN
JUN	COPS2
IRF5	COPS2
ITGA2B	KMT2D
