#tail	head
GLYAT	ACSS2
ATP2C1	CHRNA4
ATP2C1	LRRC7
ATP2C1	CHRNA9
NAA30	REPIN1
NAA30	SLC27A2
MYL6B	LRRC7
MYL6B	CACNG7
MYL6B	CACNB2
MYL6B	GUCY1B2
SSR1	INPP5A
SSR1	EFTUD2
RPL6	SMG8
IGHV3-9	NTRK3
IGHV3-9	PIK3R4
IGHV3-9	GRAP2
IGKV5-2	GRAP2
IGKV5-2	DGKD
IGKV5-2	IGHV1-69
IGKV5-2	NTRK3
SEMA6C	ADGRG2
SEMA6C	DICER1
SEMA6C	TRAPPC11
CHRNA4	TNNI1
CHRNA4	CACNB2
LRRC7	CALB1
LRRC7	TNNI1
BTK	AKT2
BTK	TRPC1
BTK	GRAP2
BTK	PIK3R4
ACSL6	ACOT7
REPIN1	CACNB2
ADGRG2	F7
ADGRG2	APOC3
ADGRG2	TSC22D1
F9	CACNB2
F9	SMG8
DICER1	F7
DICER1	RPS2
DICER1	TRAPPC11
DICER1	TSC22D1
WBP4	EFTUD2
IGHV1-69	AKT2
TSC22D1	F7
TSC22D1	POU3F1
NTRK3	AKT2
CACNG7	CALB1
CACNG7	TNNI1
PDE6C	GUCY1B2
TRPC1	TNNI1
TRPC1	GRAP2
SMG8	TKT
TMEM173	ABCC1
EFTUD2	RPS2
AKT2	GRAP2
INPP5A	GRAP2
F7	GRAP2
