#tail	head
SEMA7A	FLOT1
HELLS	FBL
PRPF4	SF3B5
PRPF4	CCT4
FBL	COPRS
FBL	RPL6
FBL	DDX31
ATF1	CCT4
ATF1	UBE2I
ATF1	CALD1
ATF1	AURKA
HSD17B2	XBP1
HSD17B2	PTHLH
RPL6	HUWE1
ASF1A	EP300
ASF1A	GTF3C1
ASF1A	NOG
GRIK3	TNNI2
GRIK3	UNC13B
GRIK3	VCL
PRDM1	HIST1H4D
TPM1	VCL
TPM1	DES
TPM1	SERPINH1
TPM1	ASPH
CALD1	APP
NCALD	RAB3A
NCALD	ITGA1
NCALD	UNC13B
TRPM2	ATP2B1
TRPM2	PDGFB
FLOT1	HIST1H4D
FLOT1	SIPA1L3
FLOT1	VCL
UBE2I	AURKA
HUWE1	PPIH
AMPD2	TNF
AMPD2	SMURF1
HOXD9	BARX1
SNRPC	USP39
VCL	SF1
TP53	SERPINH1
TP53	AKT2
TP53	XBP1
TP53	EP300
TP53	CYP2C9
SIPA1L3	SF1
PDE4B	NOG
PDE4B	TNF
PDE4B	SST
DES	CACNA2D3
H2AFB1	HIST1H4D
CYP2C9	RNF32
CYP2C9	INS
UNC13B	RAB3A
UNC13B	INS
CCT4	POLD1
AKT1	HIST1H3D
AKT1	AURKA
AKT1	AKT2
CDX2	INS
RPS5	AURKA
HIST1H3D	CABIN1
HIST1H3D	AKT2
OAS1	INS
OAS1	TNF
HIST1H4D	RIOK1
MYH11	ATP2B1
MYH11	ASPH
FOXA3	BARX1
COPRS	SMURF1
RBBP5	SF1
EP300	APP
SMURF1	RIOK1
TNF	C3
PDGFB	NOG
PDGFB	INS
PLK1	AKT2
RAB3A	RNF32
SST	GRM7
TNNI2	CACNA2D3
SF1	TWF2
SF1	APP
CATSPERG	ITGA1
ASPH	INS
ASPH	APP
RCBTB2	INS
PLEC	PHF8
GCLC	APP
SERPINH1	CD2AP
