#tail	head
RTP5	OR4X1
SORL1	GCNT3
B4GALT1	GCNT3
NAMPT	PML
NAMPT	CFTR
PIK3R1	NRTN
PIK3R1	SHANK3
PIK3R1	EFNB2
PIK3R1	INS
PIK3R1	ABL1
MFN2	CFTR
DOK1	LEF1
DNM1	EFNB1
DNM1	PTK2B
DCLRE1C	PAXIP1
DCLRE1C	SPATA20
GALNT6	FAM20B
PTGDR	CGB8
ATR	HIST1H2BM
SP1	RNF4
SP1	LRCH3
SP1	EFNB1
DNTTIP2	HIST1H3G
TIMM13	CPNE1
ABL1	TP53
LGALS9	SLC12A9
G6PC	NTPCR
CGB8	KAT2B
SYNJ1	GAK
CSNK2A1	CORO1C
CSNK2A1	TP53
CSNK2A1	BMS1
CSNK2A1	HSPA5
HOXA5	HOXD4
HOXA5	LEF1
TP53	SUN2
TP53	TRIM29
TP53	GJA1
TP53	ITGB3
HIST3H3	ORC4
GCNT3	MUCL1
GCNT3	UGT2B4
GCNT3	OGT
NME7	SLC16A7
NME7	B4GALNT1
NME7	OGT
NME7	PCNT
PRELP	B4GALT6
REEP1	KCNA10
ADD1	SHKBP1
ADD1	PAX4
ADD1	MAPRE1
RUVBL1	HIST1H3G
RUVBL1	EEF2
RUVBL1	CFTR
YWHAG	ARHGEF16
XRCC6	HSPA5
FOXK2	KANSL3
SLC16A7	SNTB1
KIF2A	NUP85
KIF2A	RPS6KB2
SHKBP1	HSPA5
SHKBP1	GAK
UTP15	INS
RPS16	HIST1H2BM
RPS16	EEF2
HSPA5	NUP85
HSPA5	SRRM2
HSPA5	HIST1H2BM
RNF4	NUP85
RNF4	HIST1H2BM
RNF4	EFNB1
DHX37	HIST1H3G
DHX37	KIFAP3
EEF2	EFTUD2
OGT	ALDH18A1
OGT	BOD1L1
OGT	SEPT2
FGG	ITGB3
SUN2	INS
MARK3	ITGB3
GNAS	SEPT2
RPS6KB2	INS
GNG5	CCKBR
GNG5	INS
MTHFD1L	TAGLN2
PARK7	EIF3B
CPNE1	LEF1
KAT2B	PML
INS	PML
INS	HK2
