#tail	head
TPM2	HSF2
LRSAM1	DDX5
PIP5K1B	KL
PIP5K1B	FGF7
PIP5K1B	M6PR
PIP5K1B	EGFR
PIP5K1B	MYD88
DNAJA1	SETD1A
SETD1A	DICER1
SETD1A	BST2
SETD1A	COPS4
FCHO1	M6PR
FCHO1	EGFR
HIST1H3J	RARA
HIST1H3J	HP1BP3
HIST1H3J	ANP32E
DCAF8	COMMD6
PIWIL3	FBXL13
OTC	DUSP21
OTC	INPP5D
FGF7	CYFIP2
DDX5	EGFR
DDX5	NTRK1
COMMD6	FBXL13
UBE2U	KLHL2
DICER1	KRT16
CGA	ESR1
CGA	SHC1
FBXL13	COPS4
COPS4	KLHL2
NTRK1	GAPDH
NTRK1	DUSP21
GAPDH	ALDH18A1
GAPDH	BCAM
AGR2	ESR1
KL	FGFR3
ESR1	IFNA13
ESR1	SHC1
ESR1	CDC27
ESR1	CYFIP2
RARA	OTUB1
HSF2	CDC27
SGIP1	INPP5D
SGIP1	EGFR
NMRAL1	OTUB1
NMRAL1	C9orf64
FGFR3	INPP5D
SHC1	CYFIP2
