#tail	head
DDIT3	ATPAF2
SLC35E4	TMEM237
PSME2	UBA52
PSME2	SPPL2B
PABPC1	UBA52
PABPC1	SEH1L
PABPC1	ERCC3
PABPC1	SRSF6
LTA	CSF2RB
SRSF6	NOG
CSF2RB	IL6ST
UBE2W	FBXW5
UBE2W	NOG
UBE2W	FBXW9
NOG	DNALI1
NOG	UBE2J1
NOG	TXNDC15
NOG	TMEM237
NOG	EFNA1
NOG	IGF2BP3
SEH1L	CAPZA2
SEH1L	INPP5A
SEH1L	IGF2BP3
FKBP3	IGF2BP3
SPPL2B	HNRNPL
ATPAF2	DNLZ
RXFP3	GNB1
RXFP3	NCKIPSD
NR2F2	MICAL2
GNB1	INPP5A
BIRC3	UBA52
BLK	EFNA1
EFNA1	EPS8
MGST3	MRPL23
UBA52	CUL7
SEC22A	HNRNPL
CUL7	DHX9
CUL7	TUBA4A
CUL7	EWSR1
POLR3B	POLR3C
POLR3B	UXT
AQP6	SLC30A8
SDR16C5	FUNDC2
DNLZ	AURKAIP1
TPTE	UXT
DHX9	FBXO46
DHX9	EWSR1
DHX9	HNRNPL
POLR3C	NCKIPSD
TMEM237	SLC30A8
INPP5A	HNRNPL
