#tail	head
SMAD3	SMAD2
SDCBP	UBC
BTG3	BTRC
BTG3	NOG
CORO1A	ESR2
CDC34	SMC1A
CDC34	RCHY1
SMAD2	GDF1
SMAD2	ACVR1C
COMMD9	FBXW11
COMMD9	FBXO21
MMP7	SERPINA1
HIST1H2BA	UBE2A
HIST1H2BA	COX15
HIST1H2BA	SUN2
NOG	NCAPD2
NOG	KLHL13
NOG	IQGAP1
NOG	SMC5
PAK4	RHOU
TOLLIP	TLR2
RIPK3	TLR3
ARL6IP1	MTERF3
DNM1	UBC
SMC1A	HIST1H2BE
UBC	SRC
UBC	FCHO2
UBC	HIST1H2BE
UBC	RAB2A
UBC	PIK3CB
IQGAP1	SRC
MTCH2	LYPD3
HNRNPD	FANCD2
HNRNPD	HIST1H2BE
HNRNPD	IL10
TRAF6	COPG1
SMC5	SMC3
CORO1B	ESR2
PRSS2	SERPINA1
COX15	ETFA
FUS	FBXW11
COPG1	ESR2
REPS2	LDLRAP1
LMO7	COMMD7
LMO7	RHOU
SRC	ESR2
NSF	ATP5MG
SMC3	POLR2A
