#tail	head
PLEKHO1	RPL26L1
LCP2	LAT2
IGHV3-33	LAT2
SMAD2	MYO18A
SOD2	ESR1
MAP1S	MAP1B
GRIK3	TPM3
FGF12	ESR1
HTN3	LTF
SQSTM1	TAF1
CSNK2B	CUL7
DPP4	RPRD1B
ELOB	MCM2
OR5M1	REEP1
RPL26L1	NUP133
STAG1	PNKD
STAG1	CENPO
UGCG	NME2
FOXF2	NR0B2
FOXF2	RAB43
TPM3	HOOK2
TNNI1	HTR3A
NOS3	PTK2
TP53	ESRRG
CHRNA4	SST
PKM	IL18
PKM	RAB10
IGKV1-17	IGHV4-59
GNB1	IGLV3-1
AKAP8	NCOR2
REEP1	OR4F21
REEP1	KCNA10
ADD1	HSPH1
ADD1	LAMP1
MYOD1	NCOR2
C17orf49	TAF1
XRCC1	RPRD1B
SLC1A7	TSPOAP1
SEPT11	NPM3
DEGS1	SIRT2
EPOR	MYO18A
JUN	DNAJB4
IGHV4-34	FCAMR
SCNN1G	SLC4A4
SH3KBP1	USP7
PF4	CXCR5
CCR9	CCL22
CCR9	GNGT1
CXCL12	CXCL17
SBF1	RAB6B
TBX5	ESR1
PTK2	EDNRA
SLC24A3	ATP1A1
NEFL	TSPOAP1
MCOLN2	TMOD1
ESR1	DCX
ESR1	MYL6B
MYO18A	KL
STAT1	FGFR2
ALG5	DPM2
TAF1	SMARCA4
