#tail	head
SUPT16H	REPIN1
FOXB1	KRTAP10-8
S100B	TP53
HIST2H2BE	ILF3
GMCL1	MORF4L1
DVL2	LRRK2
DVL2	UBQLN2
SPTBN5	SOS1
ZFR	NBEAL2
FOXO1	FRY
FOXO1	TP53
NAMPT	TP53
TP53	C2orf40
TP53	APP
TP53	ANKRD53
APLF	APP
HIST1H4K	MORF4L1
HIST1H4K	HIST2H2AB
HIST1H4K	RNF20
HIST1H4K	RNF2
SPHK1	ZAP70
SNRPB2	RNF2
CBFA2T2	FOXF2
KRTAP4-12	ILF3
HSH2D	FOXF2
PSMD14	UBQLN2
PELP1	APP
PLSCR4	KRTAP10-8
IGF2BP1	SNRNP70
IGF2BP1	RNF2
RNF2	RPS27A
RNF2	APP
WNT9A	APP
TCTE1	DYNC1I2
UTP23	SHMT2
RPS6	CCDC137
APP	MORF4L1
APP	FLOT1
APP	MDN1
APP	SNRNP70
APP	RPS27A
APP	DNAJC30
APP	PECAM1
BRIX1	RPL32
SHMT2	WDR81
RNF20	RPS27A
