#tail	head
OR4K3	RTP2
PTPMT1	CYSRT1
SFPQ	DBN1
SFPQ	EIF4A3
SFPQ	ATXN2L
SFPQ	SH3GL1
SFPQ	NECAP1
SFPQ	HTATSF1
SFPQ	SEH1L
UEVLD	SLC16A8
RTP2	OR10G9
GLYCTK	TRIP13
LSM12	NF2
COL1A1	FN1
APOC3	IGDCC4
RBMX	U2AF2
SLC9A3R2	SEH1L
SLC9A3R2	TAZ
EPN3	ESR2
SMNDC1	EIF4A3
EIF4A3	OBSL1
EIF4A3	NUPL2
ACKR3	ESR2
SSB	LIN28A
GNG10	ESR2
WBP11	HNRNPC
WBP11	ELAVL2
TINAGL1	TRIP13
CHCHD2	CYSRT1
PGK2	ACOT2
PGK2	BPGM
GADD45G	RBM48
GADD45G	REPIN1
CYSRT1	SMUG1
STAT5B	APP
ADH7	ACOT2
SH3GL1	THG1L
SH3GL1	SEH1L
CWC22	HNRNPC
REPIN1	LDHD
REPIN1	ALDH1A1
REPIN1	APP
TAZ	NDST2
NOL4L	MAX
REEP6	OR5T3
PITX2	APP
U2AF2	HNRNPC
PURA	SEH1L
PTPRH	ILKAP
IL10	LIN28A
TYW1B	TAS2R19
PPIE	HNRNPC
BPGM	IQCF1
ADH1C	ACOT2
SREBF1	MAX
SREBF1	PEPD
MAX	PLOD3
SNU13	LIN28A
CYP1A2	FN1
SEH1L	CSNK1A1
DHX16	APP
APP	APLP1
