#tail	head
PTBP3	BBS9
LARP1	HSPA8
RPLP0	C12orf10
RPLP0	SMN2
RPLP0	CD4
MYL6B	CACNA1C
MYL6B	MYH11
FOXO1	KDM6A
SLC35G1	YIPF1
CDC73	CCT4
TUBA1B	TUBGCP2
TUBA1B	ETS1
CENPL	H2AFX
CENPL	HSPA8
CENPL	H2BFS
TCAP	TMOD1
TCAP	CACNA1C
TCAP	CACNG6
ARL6IP1	ARL6
CCNB1	HIST1H2BO
CCNB1	NGB
CCNB1	HIST4H4
SMN2	HSPA1A
SMN2	HIST4H4
SMN2	MYH9
RPL9P8	RPL29
TMOD1	APC
ARAP1	GTF3A
RPL29	PSTPIP1
CD4	UBA52
APC	UBA52
SFI1	HSPA8
KIF14	TUBB3
HIST4H4	HIST1H2BO
HIST4H4	CENPQ
HIST4H4	H2BFS
HIST4H4	CUL1
HIST4H4	TBP
UBA52	ARPC4
UBA52	HSPA8
UBA52	H2BFS
CACNA1C	GNAI1
CACNA1C	CACNG6
CACNA1C	CUL1
H2BFS	H2AFX
USP45	MYH9
POLD1	HSPA8
CCT4	HSPA8
RPL3	PSTPIP1
HIST1H2BO	KDM6A
GNAI1	CASR
SNX9	ARPC4
RASSF1	CUL1
CACNG6	MYH11
HSPA8	CUL1
CENPX	HIST1H2BD
H2AFX	ERCC4
