#tail	head
DMTN	YWHAB
HIST1H2BI	WDR76
HIST1H2BI	SYCP2
IFI27	STAT1
CD3G	IGLV1-51
MMP2	CASP3
IGHV3-7	IGLV3-19
STAT1	UBE2I
ITPKC	IGHV4-34
ITPKC	GNG10
BLVRA	DUSP1
TFAP2A	LEF1
CYP4A11	RELA
FLNC	GDF9
FLNC	HSPB2
TNF	ZFP36
SIRT1	PIK3CA
SMPD3	RELA
IGLV1-51	TXK
IGLV1-51	AKT3
NEDD4L	LEF1
HSPB2	HSPA2
PRMT1	RELA
CNOT8	TOB2
CNOT8	RIBC1
GNGT2	IGHV4-34
PRKCD	PIK3CA
LEF1	NHLH2
LEF1	YWHAQ
LEF1	GAD1
FOLH1B	GAD1
KL	FCGR1A
TYROBP	GNG10
TTLL7	GPT
PIK3CA	RELA
RPS16	MAGOH
RPS16	RPS23
RPS16	LTV1
ASS1	HSPA8
GPT	AASS
GAD1	HSPA8
