#tail	head
ALX1	RBM45
RBM45	BRCA1
MDM2	PPP2CA
MDM2	HSPA1A
HIST1H2BA	MTA2
HIST1H2BA	DPY30
HIST1H2BA	SYCP3
HIST1H2BA	RNF2
PAN2	HSPA1A
PAN2	RELA
TAF1D	MTA2
MTA2	HIST1H3G
MTA2	GTF3A
MTA2	RNF2
MTA2	DPY30
MTA2	BRCA1
EHMT2	HIST1H3G
SSTR3	HSPA1A
AGAP1	PHLDB2
PPP2CA	PAK1
PPP2CA	RELA
CACNA1F	SRI
CACNA1F	MYBPC1
CACNA1F	CHRNA7
ETS1	CNTROB
ETS1	MEF2A
DICER1	FUBP3
SYCP3	HIST1H2BC
SYCP3	BRCA1
CENPF	BRCA1
CENPF	STAG1
CENPF	CENPS
RNF2	HIST1H2BC
RNF2	RELA
RNF2	SFXN2
CHRNA9	CHRNA7
CHRNA9	SRI
BRCA1	DPY30
BRCA1	HIST1H2BC
BRCA1	CLTC
BRCA1	RELA
CCL28	CXCL13
H2BFS	STAG1
H2BFS	DPY30
H2BFS	BDNF
H2BFS	CENPS
CHRNA7	MAPK4
CHRNA7	PTK2
CHRNA7	MYBPC1
HIST1H2BC	STAG1
HIST1H2BC	DPY30
BDNF	RELA
BDNF	PTK2
PTK2	RELA
PTK2	AFDN
CENPS	MAD1L1
SRI	MYBPC1
BUD31	HIST1H3G
VEZF1	REL
VEZF1	RELA
CXCL13	PCP2
HSPA1A	LOX
HSPA1A	RELA
GTF3A	POLH
GTF3A	SFXN2
MAD1L1	CDK18
CDK18	REL
TNRC6C	CNTROB
PRSS3	TANK
HIST1H3G	DPY30
MAPK4	SFXN2
