#tail	head
GLRX3	SUGT1
BAG6	E2F1
E2F1	BTBD10
E2F1	CACYBP
E2F1	MYC
UBE2N	HIST3H2BB
UBE2N	SKP2
ARHGAP25	RHOJ
ARHGAP25	NPRL3
HIST1H2AG	HIST1H2BA
HIST1H2AG	MYC
IGLC3	JCHAIN
EIF4EBP1	TNF
NOTCH2NLA	FASLG
FASLG	FZD2
FBXW7	UBC
FBXW7	MYC
FBXW7	RELA
FBXW7	COPS2
SYNE2	SUZ12
COPS7A	RHOBTB1
COPS7A	SPSB3
COPS7A	BTBD2
SOX9	IL1B
FCER1A	IGHV2-5
PCBP4	RELA
IL20RB	JAK3
RBL1	MECP2
RPL9	VCP
RPL9	PAN2
RPL9	MYC
RPL9	TNF
RNF126	SKP2
IL1B	NR1H4
IL1B	ESR1
RELA	NR1H4
RELA	RBX1
RELA	CLDN3
HSD3B7	LINGO1
SPOP	ESR1
SPOP	DAXX
HMGB1	RBX1
SYVN1	VCP
CDKL5	ESR1
VDAC2	MAGT1
VDAC2	UBC
MCC	VCP
COMMD1	VCP
HIST1H3B	ESR1
VPREB3	IGHV2-5
SUZ12	VCP
SUZ12	RBX1
VCP	POLR3C
SPECC1	PAN2
NEK4	PCDHB11
VDR	ESR1
VDR	LCOR
VDR	RND3
RBX1	SKP2
HIST1H2BA	HOXB2
SUGT1	MYC
CHIA	RBBP8NL
MYC	EPC2
MYC	LMO7
MYC	ESR1
TNF	JCHAIN
TNF	LCOR
DEPDC1B	RAB3IP
RHOBTB1	POU6F1
ESR1	NCOA6
ESR1	CHRNA3
CHRNA3	CACNB2
NCAM1	POU6F1
