#tail	head
HNF1A	LMO4
KIF18B	FLOT2
PABPC3	MCM2
C1GALT1	MGAT2
XRCC5	SLC25A1
XRCC5	FGF21
HIST1H3J	FLNA
CYP51A1	LBR
PCBP1	SETMAR
PCBP1	RPL24
EEF1B2	DDX5
RPS18	ZNF598
CENPK	RPS27
B4GALT2	NME4
B4GALT2	ALG13
B4GALT2	NME1
NME2P1	GUCY2D
FILIP1	BPTF
EPCAM	LEF1
CCT2	HSPA4
IL1B	ABCG2
ADH6	PANK1
CSNK2A1	MCM2
CSNK2A1	IGFBP3
CSNK2A1	CHD3
FOXA1	NME1
RPN1	ZNF598
RPN1	SLC25A5
RPN1	MCM2
ERCC6L	PPP1CC
MYL12A	YWHAZ
RPS6KB1	PHLPP2
MAGEA6	XRCC4
DENND4A	YWHAZ
CSGALNACT2	FUT1
CSGALNACT2	B4GALT4
NME1	SLC17A8
NME1	GUCY1B1
ASB4	TUBB3
FBXO2	UBE2Q1
FBXO2	UBE2W
FLOT2	HSPA4
LFNG	MGAT2
DDX5	XRCC4
FUT1	B4GALT4
FUT1	ENTPD5
RPL24	MCM2
EIF3J	RPS27
YWHAZ	RPLP2
YWHAZ	HSPA4
PLOD3	B4GALT4
MCM2	CNOT4
MCM2	RPS27
RPS27	RPLP2
CGB3	IL1RN
ALDH1A3	GUCY1B1
CNOT4	BPTF
CHD3	SLC25A5
SEC22C	IL1RN
RPLP2	SLC25A5
CUL5	SLC25A5
ID3	TCF12
