#tail	head
ACER1	ACSM2A
TYR	CYP1A1
MDM2	DET1
IFNG	APP
IFNG	TXNRD2
IFNG	ALB
IFNG	TRAF6
FKBP7	TMEM229B
TGFB1	PRKACA
TGFB1	KRT18
TGFB1	TRIM25
DDAH2	TK1
MEIS1	PRRX2
MEIS1	MYO1C
MEIS1	LEF1
HIST1H3J	YWHAZ
HIST1H3J	GNB4
EIF6	GIT1
EIF6	MYL6
EIF6	LYAR
MRPS9	HIST1H3H
FGF17	SP1
FGF17	MYOD1
ACTB	CYLD
ACTB	UBE2M
ACTB	LEF1
ACTB	COL7A1
ARNT	CYP1A2
ARNT	LEF1
ARNT	CUL5
SP1	RDH10
SP1	MAPK8
SP1	DET1
SP1	MTREX
COL1A2	COL7A1
MRPS34	MRPS26
HERPUD1	TRIM25
C2CD5	DLK1
MYO1C	HIST2H4A
MYO1C	POLR2F
MYO1C	HIST1H3H
TIMM17A	SRSF3
TIMM17A	GSTO1
EEFSEC	NXF1
MYL6	FN1
TBK1	TRIM25
SULT1A1	CYP1A2
TRIM25	ACOT9
OPN1SW	GNB1
GPSM3	YWHAZ
GPSM3	GNGT1
HIST1H3H	TDP2
HIST1H3H	UBTF
SRPRB	RPS23
CYP2C8	PLA2G10
KRT26	KRT72
CCNB1	CYP1A1
CCNB1	SLC22A3
GNB1	SHKBP1
KANK1	YWHAZ
HMGCS2	GPX2
ZZEF1	PDGFRB
PHF20L1	HIST2H4A
SDR16C5	CES4A
MYOD1	PRKACA
MYOD1	YWHAZ
MYOD1	CYP1A1
MYOD1	SOX5
CCNT1	POLR2L
PDGFRB	GNG3
SRSF3	NCL
MAPK8	FN1
MAPK8	NFKBIA
SHKBP1	COL7A1
SHKBP1	EXOSC8
UTP15	HIST1H4C
CYLD	YWHAZ
CYLD	RPL29
FUNDC2	SLC16A10
HIST1H4C	POLR2F
SLC19A1	APP
RBM28	LYAR
KIT	DUSP10
KIT	LEF1
APCS	HIST1H2BH
CYP1A1	CYP1A2
PRKACA	CA9
PRKACA	TPH1
PRKACA	ADORA1
VAMP1	VAMP7
DDX24	NCL
H2BFS	RGS6
PTK2	IL13
PTK2	NFKBIA
DCAKD	DLK1
XIRP2	HIST1H2BH
MYO18A	DAB2
YWHAZ	KRT18
YWHAZ	UBE2M
YWHAZ	LRRK2
SKAP1	PAX3
LRRK2	MLLT3
NUP85	PPP2CA
SP3	PATZ1
HOXC4	HIST1H2BH
PPP2CA	MRPS26
PPP2CA	FN1
NCL	SF3B1
RPL29	FN1
MRPS26	ZNF707
APP	TK1
APP	CENPQ
TK1	NFKBIA
GNGT1	CCL19
SIRT4	NFKBIA
