#tail	head
GALNS	DEFA1B
HNF1A	CHCHD7
HNF1A	EPN1
HNF1A	P2RX5
HNF1A	KAT2B
HNF1A	EBF2
HNF1A	DLX1
ATP2B4	CACNB2
ATP2B4	PPFIA3
ATP2B4	CASK
ATP2B4	ANXA2
EPHA1	PAX5
APOE	MMRN1
APOE	HSPG2
APOE	CD81
KAT2B	PAX5
KAT2B	CACNB2
PPIB	SDC1
PPIB	COL8A2
PPFIA3	TRPV4
STX6	MARCH2
STX6	RAB6A
MMP23B	PAX5
JAGN1	CCDC155
JAGN1	PDZK1IP1
PAX5	KDELR2
EBF2	ZPR1
P2RX5	STK17B
P2RX5	ANXA2
RAB6A	DCTN5
TRPV4	CACNB2
UBXN1	ZPR1
SDC1	HSPG2
SDC1	CASK
SDC1	BCAR1
SDC1	COL7A1
HSPG2	BCAR1
HSPG2	COL7A1
HSPG2	COL8A2
DSG1	CD81
CCDC155	DERL1
UBAC1	LAPTM5
UBAC1	UBQLN2
CD74	TMEM120B
CD74	CTSH
CACNB2	ANXA2
COL7A1	COL8A2
COL8A2	BCAR1
