#tail	head
LARP1	EIF3K
MARCKS	CNOT8
HIBADH	ERMP1
STON2	GNB1
STON2	PTPN13
STON2	CD3D
STON2	PIK3R1
YAP1	HSP90B1
SP3	STAT3
SP3	TRERF1
GPAT3	APP
GPAT3	ACOT12
DGAT2	PIGF
PIK3R1	AVPR2
PIK3R1	INPP5K
PIK3R1	GNG5
RACK1	ITGB1
RACK1	ABCB1
TLR4	APP
AVPR2	SGIP1
AVPR2	GNB1
AVPR2	PIP5K1A
ENTPD3	LEUTX
PIGF	PEMT
ZNF692	TRMT1L
GNB1	GNAT3
GNB1	CXCR2
YY1	DDX5
YY1	STAT3
YY1	PUM1
YY1	HIST1H2BE
YY1	GNAI2
TAS2R19	GNAI2
DDX5	GNAI2
DDX5	ANXA6
AQP3	LEUTX
PLPP1	ABHD5
SPP1	APOA1
RASA3	APP
TCF4	ABCB1
TCF4	MSI1
TSC22D1	SMAD7
RAC1	INPP5K
ABCB1	C3
C3	PCP2
C3	GNG5
APP	LSS
APP	NDUFA4
INPP5J	PTPN13
FOXQ1	PUM1
STAT3	PTPN13
STAT3	TNFRSF10A
GNAI2	CD3D
GNAI2	NPY5R
GNAI2	GNG5
GNAT3	PIP5K1A
SGIP1	PIP5K1A
GABRE	GHITM
CD3D	INPP5K
PIK3R4	INPP5K
