#tail	head
KPNA2	NUP107
SLC27A5	PDE9A
VDAC2	NDUFA9
VDAC2	TRPV6
VDAC2	MICU2
TYR	HSPA1A
TYR	COMT
TYR	BRD4
TYR	SLC23A2
ELAVL1	HSPA1A
ELAVL1	POLR2E
ELAVL1	PRPF6
ELAVL1	GSE1
RPP21	RPS15
EP300	HSPA1A
FOS	TRPV6
HIST1H2AL	NOG
RPS9	RPS18
RPS9	RPS4Y1
RPS9	HNRNPH1
RPS9	RPS15
PPP2R1A	RPS4Y1
RPL38	EIF1AX
NOG	CHD4
NOG	TRIP6
NOG	LZTS1
NOG	IREB2
UTP20	BOP1
ATP5F1A	SFXN1
UBA2	TRIP6
MTA2	GSE1
HNRNPH1	FRG1
HNRNPH1	RPL11
SLC23A2	TFCP2
RPS15	RPS4Y1
RPL11	RPL12
NPEPL1	SUMO2
SFRP2	POU5F1
CDH1	SQSTM1
HNRNPF	SNRPF
TRPV6	ATP2B1
TRPV6	PDE9A
RNF2	HSPA1A
RNF2	CHD4
LCAT	PLA2G10
SIKE1	CENPQ
NUP107	HSPA1A
NUP107	SNRPF
MRPL53	MRPS10
RPS4X	RPL12
