#tail	head
VDAC2	CHRNB4
YTHDF1	USP5
GGT7	GRIN2C
RPS14	HDAC4
RPS14	ICAM1
RPS14	EXOSC2
HNRNPAB	TP53BP1
HIST1H2BG	EYA2
HIST1H2BG	TP53BP1
REC8	SMC3
REC8	BAG2
AGO1	TFDP1
AGO1	MYC
AGO1	DHX9
AGO1	MRPS22
UTP14A	PRPF40A
UTP14A	EXOSC2
MSL1	MMS19
HNRNPK	SHKBP1
HNRNPK	RBM22
HNRNPK	MYC
SLC25A11	SLC3A1
SLC25A11	MMS19
GRIN2C	RHO
SART1	PPIL2
SART1	THOC5
NOP14	EXOSC2
DCAF8	COMMD8
MYC	DNAJB11
MYC	PPAT
MYC	CCT3
MYC	MRPS22
MYC	RPL13
MYC	RBBP7
MYC	GTF2H1
MYC	TFDP1
MYC	XRN1
AGAP1	TBC1D25
GTF2A1L	GTF2H1
GTF2A1L	TLX2
SLC5A9	SLC3A1
SLC3A1	DPEP1
HNRNPA0	RBM22
HNRNPA0	PLEKHA7
XRN1	SORBS1
XRN1	PPAT
XRN1	UPF1
RBM22	THOC5
RBM22	PRPF18
RBM22	PRPF40A
PPIL2	PPIE
PPIL2	PRPF18
DNASE1L3	EIF5A
EYA2	CATSPER1
MRPS22	HIST1H3G
CATSPER1	SORBS1
PPAT	MMS19
RBBP4	TAF12
EIF5A	DHX9
EXOSC2	HIST1H3G
PRPF18	PRPF40A
PRPF18	DHX9
PRPF18	PPIE
SMC3	HIST1H3G
SMC3	MMS19
HDAC4	TP53BP1
COMMD8	TFDP1
TP53BP1	HIST1H3G
CCT3	SORBS1
CCT3	PLEKHA7
DNAJB11	SORBS1
TAF12	GTF2H1
TFDP1	SORBS1
GTF2H1	PPIE
USP5	PLEKHA7
