#tail	head
NELFA	NELFB
RTF1	APP
S100B	FOPNL
OGN	CHST6
FOPNL	MECOM
ST3GAL1	APP
ST3GAL1	OMD
ST3GAL1	ST3GAL4
ST3GAL1	MUC12
CYSRT1	FHL3
CYSRT1	QRICH1
SLC6A4	CEBPB
SLC6A4	ATP1B2
RALA	AKR7A2
OFD1	POLR2E
TRIM39	UBE2G1
CENPL	KIF2A
MAD2L1	KIF2B
DNAJC2	HSPA4L
PPFIA3	PPFIA1
PPFIA3	SLC22A1
PPFIA3	TRPC4AP
HHIP	DHH
HHIP	APP
SLC23A2	GRIN2B
HIST1H2BL	SAP18
HIST1H2BL	CTR9
TRAF6	HSPA4L
TRAF6	PRKACB
CDK2	APP
XAB2	ERCC3
IGHV3-13	KDR
RAB8B	SPI1
RNF208	LITAF
NELFB	CTR9
NELFB	POLR2E
MYBPHL	PLEKHA6
KDR	PRKACB
NOSTRIN	SPI1
NOSTRIN	KDM1A
ZMYM4	KDM1A
CLIP1	CENPS
CLIP1	KIF2A
QRICH1	FHL3
CTR9	POLR2E
MAP3K1	HGS
MYOD1	SPI1
MYOD1	KCNH5
SFTPD	CEBPB
NDC80	SGO1
APP	AKR7A2
APP	ATP2A1
APP	SLC22A1
ZNRD1	HIST1H3A
PTCH1	CEBPB
SGO1	PPP2R5A
SGO1	KIF2A
KIF2A	PPP2R5A
HOXD10	MECOM
SYNJ1	PLEKHA6
AKR7A2	KDM1A
AKR7A2	HMGB1
