#tail	head
NCBP2	UBA52
MDM2	ANKRD17
UBE2N	CALM1
UBE2N	KLHL2
UBE2N	SF3A1
ALDH2	SLC25A21
CBFA2T2	TMEM109
CBFA2T2	GABRA6
PLA2G6	LPGAT1
PLA2G6	HIBCH
PLA2G6	LPCAT2
DHX8	CWC22
DHX8	CRNKL1
SAP30BP	THOC1
ACSL5	CERS1
ACSL5	G6PD
ERGIC3	TMEM222
COPS7A	ESRRA
CES5A	LPCAT2
PRPF8	SART1
PRPF8	NXF1
DHX15	PEX3
DHX15	CWC22
SMNDC1	SART1
ETS2	ESRRA
ETS2	TCF3
RPE	ESRRA
POU3F1	CXCL13
ESR2	CPSF1
ESR2	NXF1
TRIR	CIRBP
SIN3A	CGB5
CIRBP	LSM2
CIRBP	CRNKL1
G6PD	ALDH7A1
G6PD	HSD17B3
CRNKL1	SF3A1
CRNKL1	WDR83
CRNKL1	SART1
YY1	FUT10
CWC22	LSM2
CWC22	SF3A1
IDH2	AANAT
LY9	SH2D1B
NOTCH1	MIB2
NOTCH1	NEURL1B
NOTCH1	IPO5
PRSS23	TMEM222
NUP214	HMGA1
FXR1	CALM1
NOX3	RDH12
GABRA4	NPTN
ALDH7A1	ETFDH
ALDH7A1	ABCD1
B3GNT3	B3GLCT
RSRC1	LSM2
SRD5A1	HSD17B3
NPTN	SURF2
WDR83	SART1
WDR83	SF3A1
HSD17B3	UGT2A2
HMGA1	GTF2H3
