#tail	head
SDCBP	EPHB3
GGA3	TGOLN2
SOX10	EXOC5
FOXO4	MECR
FOXO4	ETV4
FOXO4	CAV2
FOXO4	COL4A6
FOXO4	IL6ST
LAMB4	ITGB1
LAMB4	COL4A6
DAGLA	GNB5
DAGLA	HNRNPL
DAGLA	CD79A
TP53	CRYAB
TP53	LYN
TP53	RABGAP1
TP53	PAK1
TP53	SUMO2
TP53	CAV1
TP53	MECR
TP53	HECTD1
RABGAP1	HOXC4
RABGAP1	ITGB1
KIF4A	HIST1H2BC
UBE2R2	RNF34
ELN	ITGB2
FLOT2	IL6
HOXC4	STAT5A
HOXC4	HNRNPL
COL4A6	CAV1
COL4A6	ITGB2
TMEM106C	CLDN19
TMEM106C	CMTM7
MAS1	CRYAB
EPHB3	PAK1
CRYAB	MAPKAPK3
H2AFB1	HIST1H2BC
ITGB1	ITGB2
ITGB1	TGOLN2
AP1M2	HECTD1
AP1M2	TGOLN2
BIK	CLDN19
CYP2C9	GRHPR
CYP2C9	STAT5A
CYP2C9	CAV1
CYP2C9	IL6
CYP2C9	TM7SF2
UNC13B	STAT5A
CCL3L1	GNB3
CD3E	HLA-DRB3
MECR	FMO3
MECR	ADH1B
TM7SF2	DPYD
TM7SF2	ALDH18A1
CAV1	COL18A1
CAV1	CXCR1
HACD1	SLC17A7
HECTD1	HNRNPL
IL6ST	IL6
IL6ST	VIP
IL6ST	STAT5A
LYN	CXCR1
LYN	STAT5A
PAK1	GNB5
PAK1	STAT5A
PAK1	HRAS
CXCR1	FMO3
CXCR1	STAT5A
CLDN19	LAPTM5
ADH1B	DPYD
SLC30A5	IL6
SUMO2	SETDB1
VIP	IL6
VIP	GNB3
HRAS	CAV2
CD79A	GNB3
FFAR4	ETV4
FFAR4	GNB3
DPYD	GRHPR
