#tail	head
WDR59	FAF1
C10orf88	NEDD1
GNG4	INPPL1
GNG4	IGHV3-48
GTF2A1	TMEM86A
IFNG	CDK2
TUBB6	CFTR
TRAM1	INS
IGHV1-2	IGHG1
IGHV1-2	PIP4K2A
IGHV1-2	DGKA
IGHV1-2	EREG
DGKA	PLCB2
DGKA	INS
DGKA	IGHV3-48
CIRBP	PUF60
CAVIN3	SPTBN1
IGKV3-20	EREG
ATP1A2	SLC9A7
DGKQ	PLCG1
UBC	PIP4K2A
VAV2	PIP4K2A
VAV2	EREG
SPTBN1	MYO18A
CHRNB2	SLC9A7
TMEM86A	FAM209A
CDK2	RPL3
IGHV3-48	GNB2
AGTR2	INS
HADHA	ZBTB1
HADHA	CSNK2A2
RPL3	ZBTB1
SLC22A3	INS
INS	ALS2CL
INS	CFTR
INS	RPS11
INS	EDC3
LSM3	THOC3
RAB5B	EREG
FAF1	VAPA
ASRGL1	SLC25A12
RANGRF	SLC9A7
MYO18A	IGHG1
SLC25A12	VAPA
SLC25A12	CFTR
PLCG1	IGHG1
ETS2	CCDC91
