#tail	head
IMMT	ATXN1
CTTN	LDHB
CTTN	CALCOCO1
TBC1D4	NAV1
TBC1D4	SEPT7
FOXO4	REPIN1
FOXO4	TTN
FOXO4	DYRK3
FOXO4	HMGB2
VCAN	ITGAM
RAB11FIP1	NOLC1
SMN1	AKAP2
SMN1	NUDC
SMG6	RPS19
TGFBI	ITGAM
RAD50	CCNA1
MYO15B	TRIM29
ERLIN2	B2M
AKAP2	SORBS2
GORASP2	PNMA5
DES	TTN
TMOD1	SORBS2
RAG1	REPIN1
ITGB1	RELN
TXK	CD80
ATXN1	UHRF1BP1L
CRIP2	KLF10
LAMC1	COL9A3
LAMC1	ACTBL2
IL17RE	ETS2
TBC1D2	SORBS2
SEPT2	SHKBP1
REPIN1	KLF10
REPIN1	DIMT1
RAB6A	GCC1
RAB6A	TGOLN2
SORBS2	YWHAB
SORBS2	CALCOCO1
RPL30	NOLC1
B2M	MT1A
CCNA1	ORC1
NFAT5	PLCG1
NFAT5	TAF1
NFAT5	ETS2
BCR	ICOS
IGKV1D-39	ICOS
JAM3	PARD3
COL9A3	ITGAD
RELN	PAFAH1B2
