#tail	head
PRMT8	TIGD7
ATP8B1	SLC17A2
CDC42	WNK1
CDC42	PRDX3
CDC42	GRIK2
CCT8	RAD21
ATP11C	STS
EMSY	MORF4L1
IGKV2-30	SRC
NOC2L	ATXN7
CDKN1A	UBC
RBM8A	RPL10L
NT5C1A	CA7
UBC	YWHAG
UBC	ANP32E
CBX6	CBFB
CBX6	HIST2H4A
EMC3	SCGB1D1
MIF	CEP290
MIF	CEP83
ATP6V1F	CA5A
ATP6V1F	CA7
CEP97	SCLT1
SEPT5	STX12
CD28	SRC
GRIA1	SLN
SHBG	SLC2A1
YWHAG	HIST1H3F
YWHAG	IL18BP
YWHAG	CPSF3
SCLT1	NKAIN2
HIST1H4F	POU2F1
HIST1H4F	HNRNPU
HIST1H4F	HIST1H3F
FAM234A	SCGB1D1
KAT2A	ATXN7
POU5F1	PRDX3
GTF3C3	POLR2E
SRP14	RPL10L
CYP11B1	NR3C2
SRC	AKT3
SRC	GRIK2
SRC	CPSF3
SRC	POLR2E
UPF3B	HSPA8
CPSF3	HSPA8
CPSF3	SF3B5
AKT3	PHLDB2
VSX1	SLN
HIST1H3F	TADA1
HNRNPU	KAT6B
HNRNPU	HIST2H4A
POU2F1	POLR2E
HSPA8	LSM8
MORF4L1	HIST2H4A
ZSCAN1	POLR2E
KIF7	CEP290
KIF7	PHLDB2
RAD21	HIST2H4A
CEP290	CEP83
