#tail	head
TYR	IFNB1
TMEM147	JUN
TMEM147	OR1D4
EID3	STAG2
IFNB1	GHR
PMF1	RUFY2
PMF1	STAG2
STOM	PTPN1
STOM	SCD
DAB2	LDLR
TUBA1A	ACOT8
TUBA1A	JUN
TUBA1A	CCT5
TUBA1A	ILF3
TUBA1A	CCT4
CNGB1	GRIK2
CNGB1	PPFIA3
CNGB1	TPM1
CNGB1	JUN
MAD2L1	STAG2
MAD2L1	DYNLL1
PELO	JUN
PELO	SLC25A12
MKS1	CDC16
PPFIA3	BAZ1B
PPFIA3	GRIK2
METTL3	POLR2I
METTL3	CCT5
METTL3	DYNLL1
CCT5	JUN
CCT5	SGK2
GH2	PTPN1
GH2	CSH1
BAZ1B	HIST1H2BH
BAZ1B	MYO1C
BCL2	GH1
BCL2	DYNLL1
BCL2	HIST1H2BH
BCL2	APEX1
TSC22D3	JUN
ILF3	NFXL1
ILF3	PTPN1
ILF3	SGK2
ILF3	APEX1
GHR	GH1
GHR	PTPN1
HOXB4	TCF4
HOXB4	HIST1H2BH
KIF22	COPE
KIF22	TMED3
BUB1B	DYNLL2
BUB1B	STAG2
BUB1B	TYW3
BUB1B	DYNLL1
COG6	COPE
COG6	TMED3
TCF4	ID1
TCF4	JUN
CDC16	UBE2V2
PDHA2	ACSS1
SGK2	JUN
SGK2	GH1
NKG7	OR1D4
DYNLL2	WWC1
GH1	PAEP
GH1	PTPN1
FANCI	TGOLN2
SLC25A12	ACSS1
SLC25A12	JUN
COPE	MYO1C
COPE	TGOLN2
MYO1C	JUN
MYO1C	HIST1H2BH
ACOT8	ACSS1
TGOLN2	PTPN1
TGOLN2	DYNLL1
TGOLN2	COG7
TGOLN2	SLC12A7
ANO6	SLC12A7
HIST1H2BH	STAG2
HIST1H2BH	JUN
RBBP7	STAG2
PTPN1	IFNA7
