#tail	head
UROD	ABCD1
SFPQ	STAU1
SFPQ	SQSTM1
PRKN	SQSTM1
SLC9A3	SLC6A7
SLC9A3	AKAP1
SLC9A3	SLC5A7
SLC9A3	MAOB
ABCC4	EIF2AK2
TMOD2	CNGB1
TMOD2	SRI
RAD50	TAF1
RAD50	POLD4
RAD50	EEF1A1
CDKN1A	GSK3B
CLCN4	SLC12A4
AKAP1	STXBP1
AKAP1	ACTN2
CNGB1	TRPV1
CNGB1	FXYD2
CACNA2D2	DLG4
IL17RC	SLC12A4
GSTA4	GSK3B
MAX	POLD4
PPID	GSK3B
DLG4	STXBP1
EPO	CXCR2
CXCR2	TRPV5
CXCR2	TRPV1
ARF1	STAU1
SQSTM1	STXBP1
SRI	STXBP1
SRI	TRPV1
ANXA6	TRPC4AP
SLC5A7	RRM1
SLC5A7	FXYD2
ACTN2	LRP12
TAC1	TRPV1
HIST1H4C	SMARCA2
EEF1A1	ABCF2
