#tail	head
COPZ2	KIF26B
TFAP4	ACTB
PXN	TLN1
FAM167A	SHTN1
PRPF4	ESR2
PRPF4	DDX3X
PSMB8	NFKB1
FBL	MAZ
FOXO4	ZNF490
FOXO4	CYB5D1
TRAF2	ELAVL1
SCNN1D	GRIN1
PRXL2A	NOG
NUP62	LRRK2
NUP62	MYO15B
MTUS2	GNL3L
CEP78	NXF1
TLN1	CACNB2
TLN1	OGA
TLN1	CACNG2
UBE2A	HIST1H2BI
ACAT1	OGA
SCAP	HLA-C
HLA-C	NOG
HLA-C	GPR182
HLA-C	TMEM206
HLA-C	ESR2
TMEM206	EIF2B3
CEP97	CEP128
ACTB	ETS2
ACTB	MAZ
ACTB	RIOK1
ACTB	LRRK2
SND1	ESR2
RPUSD4	DDX28
RPUSD4	TCF3
BACH2	MAZ
BACH2	LEF1
COMMD10	SOCS3
COMMD10	KLHL2
COMMD10	COMMD4
NRIP1	CYP19A1
CLNK	TCF3
CAP1	OGA
CAP1	SHTN1
ATR	CLDN3
NTRK3	ABI2
MTREX	TXNL4A
MTREX	HEATR1
MRPL14	MAZ
ADGRB2	TRPC1
GNB4	S1PR2
MAP2K5	STAT5B
RBL1	HIST1H3I
NFIC	LMNA
ITGB6	NOG
HIST1H1A	HIST1H4B
ETS2	ATP2A3
DNAJA3	FGF8
TMEM17	SLC12A2
TMEM17	SEC24B
CENPX	HIST1H2BG
MKI67	ELAVL1
CHTF18	ESR2
ZNF281	HIST1H3I
HIST1H3I	MRPS5
HIST1H3I	HIST1H2BG
OR4N5	APP
ITGA11	FN1
CSNK2A1	FN1
CSNK2A1	ESR2
HEATR1	NOG
SESN2	SESN3
ORC3	OGA
ESR2	IGKV3D-20
ESR2	DLG1
ESR2	DLGAP4
ESR2	DDRGK1
ESR2	EFNA1
ESR2	CLCNKA
CHSY1	NOG
ECM1	GRN
DDIT3	LRP2
MYL4	APP
HIST1H2BI	LEF1
ELAVL1	LMNA
ELAVL1	SRRM1
HIST1H2BG	NXF1
HIST1H2BG	MEF2A
SMARCD1	LEF1
SOCS5	NOG
STAT5B	RASA1
STAT5B	HAX1
BUB3	SNRNP70
HIST1H2AC	TWISTNB
COL11A1	FN1
CYP19A1	VDAC1
RPGRIP1L	DDX56
GNB1	STIP1
GNB1	INPPL1
GNB1	ERLIN2
GNB1	GRPR
GNB1	NPW
GNB1	HCAR1
ORC6	APP
FASTKD3	SHMT2
RPLP1	HNRNPA1
OGA	ZW10
OGA	LAMP2
OGA	LIN7C
OGA	TAGLN2
OGA	QRICH1
TRPV4	ATP2A3
TRPV4	LEF1
TRIM23	EIF3D
TRIM23	SCNM1
SAP30	HIST1H4L
COX15	VDAC1
THRAP3	NXF1
DDX3X	MAZ
INPPL1	AXL
INPPL1	MEF2A
CLDN3	TJP1
CLDN3	PRDX6
CLDN3	TCF3
LRP2	APP
LRP2	UTS2
CES3	PRDX6
SDC1	LEF1
SDC1	NDST1
CEP89	CEP128
IGFBP3	NOG
TRPC1	MAZ
MBIP	MEF2A
SRP9	STAT5A
ATP2A3	MEF2A
STAT5A	IL2
NDST1	EXTL1
GRN	ABI2
GRN	FRAT1
NOS1AP	RNPS1
BAZ1A	NOG
BRMS1	HIST1H4L
SYT16	RTN4
DCTN3	SCLT1
CMBL	ATIC
ABCC1	HRAS
PAQR3	MT2A
PTCD3	FGF8
ACP2	S1PR2
ATIC	FH
ABI2	IL2
LMNA	FN1
LMNA	RNPS1
LMNA	SRRM1
THOC6	MEF2A
PCF11	SRSF4
SPATA2	CEP128
RXRA	SLC9A8
ATF4	SHMT2
HPGD	ABCC4
S1PR2	MAZ
PTK2B	RASA1
CDH1	SEC24B
CDH1	VAPA
CDH1	HIST1H4B
CDH1	RRM2
CDH1	APP
CEP128	NOG
CEP128	ERLIN2
MAZ	SRRM1
MAZ	EEA1
KRT19	ECH1
FBXL8	DCUN1D4
PRDX6	IL2
NUTF2	SHMT2
SNRNP70	TJP1
SPX	APP
DLG1	SLC9A8
HIST1H4L	TWISTNB
HIST1H4L	HMOX1
HIST1H4L	IL2
NFE2L1	HINT1
MAD2L2	ZNF511
EIF3D	HNRNPA1
FAM219A	TCF3
TAGLN2	NOG
P4HA2	PLOD2
UVRAG	CPNE7
GLRX	CFAP298
PLOD2	TCF3
HSPB8	FGF8
MT2A	KLRB1
BID	HRAS
RAB14	APP
FXYD4	APP
VDAC1	CYC1
VDAC1	CACNB2
SCLT1	LEF1
TJP1	VAPA
CACNG2	APP
TCF3	SOCS3
LEF1	PDCD4
APP	CACNB2
APP	HRAS
NFKB1	COMMD7
