#tail	head
UBE2S	LNX1
LNX1	CA8
LNX1	DVL3
LNX1	ZNF581
PLAGL2	ZNF581
PLAGL2	DVL3
PLAGL2	GATA1
CDC42	RAB14
CDC42	DVL3
PLEC	DVL3
PLEC	FGD5
PLEC	APP
PLEC	ESR2
RPLP0	RPS12
RPLP0	RPL5
RPLP0	PPIE
CDCA8	HIST1H3G
CDCA8	SEH1L
CHD3	PHB2
CHD3	ZNF512
CHD3	RPL5
GCH1	RPS12
GCH1	LEF1
UBE2M	PHB2
UBE2M	CBLL2
UBE2M	EIF3D
RPS12	FAU
RPS12	RPL5
RPL5	HIST1H3G
RPL5	ZNF512
FARSB	ESR2
SEH1L	EIF3A
SEH1L	MAD1L1
HIST1H4A	HIST1H3G
HIST1H4A	YWHAE
HIST1H4A	LEF1
HIST1H4A	KDM1A
EIF3A	ESR2
MTCH2	ESR2
MTCH2	PHB2
RAB14	ATP6V1C1
RAB14	GDI2
DVL3	PITX1
OPA3	ESR2
NOSTRIN	APP
NOS1	CYBA
CLASP2	ESR2
TSGA10	DISC1
TSGA10	MAD1L1
DISC1	ESR2
DISC1	YWHAE
ROR2	PITX1
DPPA2	PCGF1
RSBN1	HIST1H3G
RSBN1	ZNF512
ERCC8	POLD4
FGD5	ESR2
GOLPH3L	LEF1
GOLPH3L	ENTPD7
MGAT5B	FAM83A
FAU	TSR1
APP	GATA1
APP	CYBA
APP	SLC22A2
APP	ESR2
LEF1	TSR1
TSR1	HIST1H3G
CHURC1	ZNF581
KRTAP19-5	PITX1
SEC23B	EIF3D
SEC23B	GDI2
FAM168A	PITX1
FAM168A	PRR20A
GAN	EIF3D
CYBA	SLC22A2
GDI2	DENND6B
PITX1	GATA1
EIF3D	ESR2
HIST1H3G	PCGF1
HIST1H3G	ESR2
HIST1H3G	KDM1A
HIST1H3G	YWHAE
TFE3	PHB2
