#tail	head
ARFIP1	PRMT3
ESRP1	NOG
ELOA3	CDK7
ELAVL1	ZIC2
ELAVL1	FNBP1
ELAVL1	NOG
ELAVL1	SLC19A2
NEMF	CYP4V2
SLC6A1	SLC24A5
SLC6A1	SLC17A1
TINF2	ARHGDIA
CDK7	ANXA2
CDK7	FANCD2
CDK7	GTF2H2
CDK7	LASP1
CDK7	CDK9
SLC1A2	TTLL11
NOG	ZIC2
NOG	GNAS
NOG	MCM2
NOG	CRYAB
NOG	TTLL11
NOG	FOXL2
RPA3	RPL18A
RPA3	GTF2H2
RPA3	MCM2
RPA3	H3F3A
HIST1H2BJ	CBX4
HIST1H2BJ	SIN3B
HIST1H2BJ	POLR1B
PAN2	PITX2
PAN2	MYO5C
SLC7A7	AHCYL2
CBX4	SUMO1
GTF2H2	SUMO1
URB2	SCP2
HLA-C	SARS
HYPK	PITX2
ING2	H3F3A
ING2	SUMO1
SENP3	GPHN
SLC5A11	SLC24A5
BRAF	PAK1
FNBP1	INPP5J
FNBP1	PICALM
HIST4H4	GLI1
MMGT1	CLN6
SLC24A5	SLC1A7
LILRA3	H3F3A
SLC35B2	CLN6
CDCA5	BTD
SUMO1	FAS
FPR2	SLC19A2
INPP5J	TRAT1
INPP5J	EREG
MOGS	RPN2
SARS	MCM2
GNAS	ZIC2
HIST1H4H	CFLAR
RPS16	MCM2
CFLAR	NSUN5P2
IGKV2D-30	TRPC7
