#tail	head
TFAP4	ARNT
RACGAP1	PPP2R5E
MDM2	HIST2H4A
MDM2	RPS7
MDM2	EFTUD2
MDM2	NAV3
MDM2	SRC
WDR45	XAGE1B
GOLGB1	TMED3
GOLGB1	COG4
BORA	CEP135
HNRNPR	GTF2F1
HNRNPR	HIST1H4A
HNRNPR	STIM1
HNRNPR	HIST1H4D
CBFA2T2	SNTB2
CDK15	CDK18
CDK15	ACPP
HIST2H3A	TAF9
HIST2H3A	TAF1D
HIST2H3A	SET
HIST2H3A	RBBP5
RPL19	TOP1
RPL19	RPS7
ARHGDIA	OMG
ARNT	RLF
SDS	SUCLA2
SDS	OGDH
SDS	GLUD2
GLUD2	KYAT3
MBNL2	NXF1
SRPRA	EFTUD2
GATA4	CHRM1
GATA4	CNTF
POT1	HIST2H4A
GSTA1	ALB
KRT17	STIM1
KRT17	OGA
RPL23A	RPS7
ROCK2	EFTUD2
HIST1H4A	H2AFZ
HIST1H4A	CENPP
HIST1H4A	TFDP2
HIST1H4A	FANCD2
PHF20	TAF9
ARHGEF26	RHOBTB2
RFX1	MYOD1
DSN1	CENPP
DSN1	MYH9
TAF1A	H2AFZ
OGA	CORO7
OGA	GCLM
ALOX12B	PLA2G4A
SUZ12	E2F6
SUZ12	NXF1
SUZ12	EFTUD2
FANCD2	HIST1H4D
TAF9	HIST2H4A
OGDH	NXF1
OGDH	AANAT
CHRM1	CXCR2
TTC16	MYB
CENPP	H2AFZ
HIST1H4D	EFTUD2
HIST1H4D	MYB
HIST2H4A	L3MBTL2
SUCLA2	DDX19B
SUCLA2	ENTPD8
PLA2G4A	ATP2B1
STIM1	MYBPC1
STIM1	EFTUD2
VPS35	RIOK2
CEP135	CEP76
DDX39B	SF3B4
OGT	EFTUD2
OGT	SRC
SRC	PPP2R5E
SRC	CD47
RHOB	FGD4
ATP2B1	TNNI3
RIOK2	EFTUD2
EFTUD2	GCLM
COL3A1	COL4A4
CD47	COL4A4
PLA2G2D	AANAT
GCLM	EBF3
L3MBTL2	E2F6
P2RX3	CPNE7
