#tail	head
CCDC36	EXOC8
EXOC8	EXOC1
H2AFZ	HIST1H3G
H2AFZ	PARP2
H2AFZ	AJUBA
VPS37C	TFIP11
VPS37C	PARP2
VPS37C	AARD
GBF1	RABL6
GBF1	ARFGAP3
RPL36A	HIST1H3G
ABCG2	PRKCD
ABCG2	PIK3R1
PIK3R1	VDR
PIK3R1	HTT
CCDC8	SF1
EXOC1	RAB11A
TFIP11	SF1
GPER1	ATG5
GPER1	GDF9
F2	NCOA1
F2	NOS2
RNASEH2B	HIST1H3D
HIST2H3A	HIST1H4D
HIST2H3A	HIST1H3D
HIST2H3A	AJUBA
ATG12	ATG5
TUBA3C	LRRCC1
TUBA3C	MAP3K8
DNAJC5	CGB3
FLNC	MAP2K4
ARPC5	NECAP1
EMD	NOS2
EMD	SEC23B
EMD	HIST1H3G
DLST	NTPCR
DLST	OGDHL
SULT1A3	CGB3
PACSIN1	EPS15L1
HINFP	MDC1
RPL30	MAP3K8
RPL30	SEC61A2
SLC25A3	NOS2
RREB1	ZSCAN12
KCTD3	SF1
KCTD3	SEC23B
KCTD3	HSPB1
RET	SREK1IP1
EPS15L1	SEC23B
SF1	NCOA1
SF1	TRAP1
CUL2	HTT
HTT	ATG5
MDC1	HIST1H3G
MDC1	KDM4B
HSPB1	ATF2
HSPB1	NOS2
ATF2	NOS2
ATF2	RABL6
PLA2G2F	OGDHL
