#tail	head
POGLUT1	DHX29
TLN2	THRAP3
SEMA7A	NECAP1
SEMA7A	HNRNPA0
SEMA7A	SNW1
SEMA7A	PCBP1
SFPQ	THRAP3
SFPQ	NECAP1
SFPQ	DENND1A
SFPQ	SLBP
YAP1	KIF5A
NAMPT	C2CD3
NAMPT	THRAP3
NAMPT	TGFB1
FAM160A2	HOOK2
GPX8	EDDM3B
GPX8	SLC35B4
TGFB1	ADIPOQ
TGFB1	PON2
CEP72	CEP164
CEP72	FBF1
SNW1	PCBP1
DAPK1	MCM10
IFIT2	RCN2
HAUS3	CEP164
HAUS3	FBF1
HAUS3	CRYL1
HOOK3	CEP63
CNTRL	TIMM23B
CNTRL	PCNT
IGKC	KCNMA1
IGKC	UPF1
LTBP3	JUN
ADIPOQ	CBX3
ADIPOQ	KLRC1
ADIPOQ	GH1
ADIPOQ	SYNE4
ADIPOQ	THRAP3
FBF1	TIMM23B
DHX29	JUN
THRAP3	H3F3B
HADHA	SLBP
DYNLRB2	TRAF3IP1
DYNLRB2	IFT140
C2CD3	CEP63
MGAT5B	SLC35B4
H3F3B	FBXO8
PON2	GH1
SLBP	DENND1A
RTN4	JUN
MYB	ZC2HC1C
NECAP1	DENND1A
JUN	UPF1
