#tail	head
INTS3	GTF2E2
PSMA2	BCAR3
UROD	PRKCA
HSD17B2	ARNT
HSD17B2	HSD17B1
HSD17B2	CYP1A2
AQP10	ATP6V0A2
HSPB8	PRKCA
HSPB8	NFE2
PIAS4	OAZ1
GOLT1A	TECR
PLA2G6	SUCLA2
IBTK	PRKCD
ATP6V0A2	VMA21
GTF2E2	POLR2E
GTF2E2	HNRNPA1
PHB	PRKCD
LDHD	PAX4
GPD1	SDR16C5
TRPV6	PRKCA
TRPV6	CHRNA7
TRPV6	ARNT
HSD17B12	ARNT
HSD17B12	HSD17B1
HSD17B12	CYP1A2
ARNT	HSD17B1
ARNT	ELOB
CHRNA7	PRKCD
CHRNA7	RB1
CHRNA7	PRKCA
SDR16C5	RB1
TECR	CD79A
PRKCA	CACNB3
HSD17B1	CYP1A2
HSD17B1	CACNB3
ELOB	POLR2E
LYVE1	NFE2
CCNE1	RB1
IL10	NFE2
IL10	CYP1A2
