#tail	head
CDIPT	PCSK9
GNE	GABPA
NFX1	APP
TDG	RNF4
SHC3	ITGA4
ACTR1A	ZUP1
IGHV3-48	FGFR1OP
IGHV3-48	EREG
ADIPOQ	RORA
ATN1	RNF4
CD3E	HLA-H
FTO	SLX4
SP1	ODF2
SP1	DNAJC4
SP1	ECH1
SP1	YTHDC1
SP1	AGPAT1
SP1	EEF1A1
BCL10	APP
REST	PRG3
LYPD3	HIP1R
OTX1	KRTAP12-4
STS	UGT2B4
PDHB	TDH
PDHB	GCAT
OXER1	AES
FOXF2	USP3
FOXF2	MPP6
FOXF2	PRKCH
UGT1A8	PIGA
ESR2	CNTRL
TRIM25	QPCTL
HIST1H2AK	TADA2B
HSPA8	TSC22D3
ASAH1	ACAA1
ELAVL1	MANBAL
ELAVL1	EDEM1
HIP1R	PPM1B
PSG1	ACACA
AES	KRT35
TPTE	RETREG3
GADD45A	FTL
RNF4	DNAJC10
SEPHS1	ATXN2L
ARFGAP1	SPTAN1
STX3	SPTAN1
PSG9	APP
NR1H4	CSRNP3
DDRGK1	APP
PIGA	UGT1A1
TERF2	TERF1
IRF9	CHD3
HLA-B	SEC24D
LDLR	APP
NCAPD3	HIST1H2AE
UGT2B4	ABO
GRAP2	TRAC
ELAVL4	FOXM1
RPS14	CCDC137
CHD3	VDAC1
MAPK14	GNAO1
