#tail	head
CDC5L	SMARCE1
SLC9A3	SLC6A5
GSTM3	RIOK1
DKC1	POLR1C
CNGB1	CACNA1S
CNGB1	FXYD4
AKR1C2	F2
HIST2H3A	KIF3A
HIST2H3A	NASP
RPP25	RIOK1
NOB1	RPP38
ALAD	SHKBP1
NAPA	LASP1
NCALD	RIMS1
NEFH	ESR1
CALCOCO1	SHKBP1
SMAD1	RUNX1
SMAD1	ATF4
HIST1H3F	GTF2E2
NEK6	SMAD4
PDHB	ADH5
SULT1A1	AKR1C3
SNAPC2	POLR1C
VDAC2	CACNG1
ATP2A2	SLN
ITGA8	LAMA5
EIF4E	OTUD6B
SNW1	DDX3X
SNW1	ACTN2
SNW1	EBNA1BP2
SNW1	TAF9
SNW1	POLR2G
SNW1	BASP1
BZW1	SHKBP1
PPIF	SLC25A4
GLMP	RPP38
ARHGEF11	SMAD4
XRCC6	CHD1L
XRCC6	STON2
PDK1	SPG7
SMAD4	FOSB
SMAD4	CEBPD
TNNC2	CATSPER1
SLN	CACNB2
IL10	NHLH1
POLR2K	GSK3B
CFAP20	GTF2E2
ADH1C	ENTPD8
RPS21	VCAM1
ACOT7	ADH5
MCM3	SDHA
ESR1	HLA-DRB1
ESR1	IGF2
ESR1	TEAD1
ENTPD8	ADH5
POLR2A	HIST1H4J
SLC1A6	GRIN2B
SLC1A6	SLC13A4
LRRK2	ACTA2
KCTD6	IFIT5
GRIK4	TNNT1
CSTF1	GTF2E2
VCAM1	CCL22
BRIX1	SRPK3
