#tail	head
THUMPD3	PPM1B
LPCAT1	CDC34
GNG4	ADRB2
GNG4	PTH
SCRN1	TAB2
SCRN1	ZNF25
SCRN1	MAP3K7
CDC34	UBA1
CDC34	FBXO6
CDC34	ASB16
PCK1	PGAM1
PCK1	CALM2
UBTF	GRK5
NOP56	RPL29
ZIC1	CPA4
MCTS1	GPX7
MCTS1	PAX2
ADRB2	HNRNPA2B1
ADRB2	GNGT2
ADRB2	SERPINH1
ADRB2	GRK5
ADRB2	PAX2
RUSC2	NFE2L1
EIF3A	RPS4Y1
EIF3A	NAPG
EIF3A	FBXO6
EIF3A	SERPINH1
EIF3A	NUDT21
B3GALNT1	CSGALNACT2
B3GALNT1	B4GALT5
HNRNPA2B1	SERPINH1
HNRNPA2B1	NCL
HNRNPA2B1	FBXO6
NCL	RPL26L1
NCL	EEF1A1
NCL	RPL29
NCL	GRK5
RPL29	EEF1A1
RPL29	RPL26L1
NAPG	EIF3J
PTH	CALM2
GLP2R	CALM2
GLP2R	GNGT2
B4GALT5	PAX2
B4GALT5	CSGALNACT2
ZNF501	RPL26L1
TMED10	LMAN1
ZNF143	PHF12
TAB2	MAP3K7
TAB2	CALM2
CALM2	CAMK2G
CALM2	RPS4Y1
CALM2	PAX2
GPX7	EEF1A1
RPS4Y1	EEF1A1
NFE2L1	LMAN1
SERPINH1	EEF1A1
NUDT21	LMAN1
EEF1A1	MAP3K7
