#tail	head
CCAR1	SF3B4
HSCB	UFL1
GCFC2	DDX46
CCDC33	FOXO4
RPL23	RPL14
RPL23	RPN1
RPL23	RPS2
PYGB	ADSS
FOXO4	IGF1R
ARID5A	ESR2
HK3	MTMR6
PCDHGA11	CTNNB1
SMN2	PCBP1
SMN2	FOXD4L3
SMN2	NUFIP2
SMN2	SERPINH1
PCBP1	DDX46
EEF2	CTNNB1
EEF2	RPL35A
EEF2	HNRNPU
EEF2	SERPINH1
FER	DUSP19
PALM	TMEM17
NUFIP2	AHCY
NUFIP2	RPN1
TGM2	YWHAQ
NEDD8	DHX9
NEDD8	ESR2
NEDD8	YWHAQ
NEDD8	ZYX
RPS6	RPN1
RPS6	RPL14
RPS6	RPL35A
SPICE1	ZC2HC1A
PHOSPHO1	RPN1
APP	CTNNB1
ADD2	DPPA4
RPL35A	SRPRA
PNMA1	USP9X
KRTAP1-1	OLIG3
TRIP4	DHX9
TRIP4	HNRNPU
HNRNPU	HNRNPUL1
SERPINH1	GEMIN5
BSPRY	ESR2
CTNNB1	RPN1
