#tail	head
MYL12A	GUCY1A2
FMO2	MEIS1
S100B	TGFB1
FYN	PTK2
FYN	CNN3
FYN	F2RL2
FYN	STAT6
FYN	HSP90AA1
PRKN	PTK2
PRKN	CDK5
SSR1	GANAB
SSR1	CNN3
SSR1	DHPS
SSR1	HSP90AA1
FOPNL	S100A6
TGFB1	RBL1
TGFB1	DHPS
TGFB1	PTK2
TGFB1	HELZ2
TGFB1	LOXL1
NXF1	EN1
NXF1	GABARAPL1
NXF1	HSP90AA1
NXF1	SENP3
MEIS1	EN1
MEIS1	SEMA6D
MEIS1	NRP1
FKBP4	S100A6
FKBP4	HSP90AA1
BEGAIN	DEF6
VPS35	SENP3
GCLM	CALM2
GCLM	GNPDA2
GCLM	AASS
GCLM	OPLAH
DHPS	RPSA
DHPS	AASS
DEF6	PTK2
SENP3	GANAB
SENP3	HSP90AA1
EN1	BACH1
CDK5	HSP90AA1
CDK5	MAPT
CDK5	PTK2
PTK2	HSD17B7
MAPT	CALM2
SLC19A3	TPK1
RPSA	GANAB
RPSA	HSP90AA1
RPSA	CNN3
RPSA	ANXA7
RPSA	SLC31A1
U2AF2	S100A6
U2AF2	HSP90AA1
CALM2	HSP90AA1
GNPDA2	BTD
GNPDA2	AASS
STAT6	SLC31A1
SLC31A1	HSP90AA1
HELZ2	HSD17B7
IDH3B	AASS
OPLAH	TPK1
HSD17B7	AASS
