#tail	head
FRMD8	LIME1
CUL1	RELA
CUL1	AIFM1
CUL1	RPRM
CUL1	NPM1
EFTUD2	DDX21
EFTUD2	COLGALT1
EFTUD2	RELA
EFTUD2	AIFM1
EFTUD2	YY1
EFTUD2	NPM1
EFTUD2	PIH1D1
EFTUD2	RNF2
EFTUD2	SRGAP2
HIST1H3G	YY1
HIST1H3G	NPM1
HIST1H3G	TAF4
HIST1H3G	RNF2
HIST1H3G	DDX21
HIST1H3G	BCL2
LIME1	PLCG2
LIME1	TMEM86B
LIME1	PKMYT1
AIFM1	PIH1D1
AIFM1	RNF2
AIFM1	BCL2
AIFM1	RELA
AIFM1	TES
RELA	RNF2
RELA	AAMDC
RELA	DDX21
RELA	YY1
RELA	BCL2
RELA	NPM1
RELA	GAN
TAF4	HIST1H3E
TAF4	RNF2
TES	DDX21
AAMDC	PIH1D1
NPM1	PIH1D1
NPM1	DDX21
NPM1	HIST1H3E
NPM1	YY1
NPM1	GAN
NPM1	PLCG2
VSTM1	TMEM248
VSTM1	PLPP2
SRGAP2	WIPF1
SRGAP2	YY1
BCL2	PKMYT1
BCL2	HIST1H3E
GAN	WIPF1
DDX21	HIST1H3E
DDX21	PIH1D1
RNF2	YY1
RNF2	COLGALT1
RNF2	HIST1H3E
HIST1H3E	YY1
DGAT2	PLPP2
DGAT2	PLCG2
RPRM	TMEM86B
TMEM86B	TMEM248
