#tail	head
RCE1	USP17L27
ATP2B4	FLOT1
CDV3	CHMP2A
HIST1H2AL	ATXN7
HMX1	SLC25A3
WDR46	FOXQ1
AURKB	FLOT1
UNK	CCT4
UNK	NUP98
PSAP	GNAT3
USP17L27	CDC25A
USP17L27	USP17L7
CDK2	STAR
CDK2	RCC2
CDK2	PTK6
CDK2	PPP1CC
CDK2	CLIC1
CDK2	IGF1
CDK2	SLC25A3
CDK2	APP
CDK2	PPP1CA
NDUFAF2	ATXN3
NDUFAF2	NDUFA4
KIF13B	APP
STAR	IGF1
STAR	APP
PPP1CC	NUP98
PPP1CC	PPP1CA
PPP1CC	RARA
PPP1CC	RCC2
CLIC1	TRAPPC2
CLIC1	GABARAPL1
TXN2	RELA
GPKOW	NINL
GPKOW	KLC2
GPKOW	HSPA8
GPKOW	APP
CCT4	HSPA8
CCT4	SLC25A3
CCT4	RELA
SLC25A3	GABARAPL1
SLC25A3	NDUFA4
SLC25A3	RARA
SLC25A3	OTUB1
KLC2	HSPA8
KLC2	PTPN23
CHMP2A	CHMP1A
CHMP2A	CHMP6
GNAQ	APP
IGF1	IAPP
USP17L5	CDC25A
APP	PRDX2
APP	IAPP
APP	HIST1H2BM
APP	GNAT3
DLD	OTUB1
DLD	PPP1CA
DLD	GABARAPL1
NDUFV1	FOXQ1
MTPN	OTUB1
MTPN	RELA
RAB3IP	CEP164
HINT1	PRDX2
PIP4K2C	GNAT3
FOXQ1	NUP98
GNAT3	BDKRB2
DDX47	CEP164
DDX47	RARA
BTF3	CEP164
FLOT1	RELA
SUDS3	USP17L10
HSPA8	RELA
HSPA8	LRRK1
SYNGR2	BDKRB2
CHMP6	CHMP1A
