#tail	head
CARTPT	UBE3A
BAG4	C3orf38
PPP2R2B	POU1F1
PPP2R2B	SKA3
PPP2R2B	MLH1
ZNF768	OGA
ZNF768	CENPV
MRPL1	MRTO4
MRTO4	NMD3
MRTO4	CEBPA
KRAS	SPTA1
NOG	NUDT21
NOG	TBX15
NOG	MTHFD1L
NCAM1	SPTA1
UBE3A	PSMD3
TFAP2A	ERBB4
GCLM	TXN
MLH1	ZMAT5
MLH1	TXN
OGA	TXN
OGA	SKA3
OGA	HUWE1
OGA	ZCCHC8
DDX42	POLR2A
DDX42	MTHFD1L
DDX42	ZMAT5
RSBN1	CENPV
CTNNBL1	ELK1
NSG2	POU1F1
VGLL3	RUSC1
CEBPA	ZBTB9
ZSCAN12	CENPV
NT5C3B	MTHFD1L
PTPRA	SPTA1
PTPRA	ERBB4
PTPRA	MTHFD1L
ARHGAP5	REL
WWP2	POLR2A
WWP2	NUDT21
ELK1	NUDT21
SRSF7	NUDT21
SRSF7	POU1F1
SRSF7	POLR2A
NR0B2	POLR2A
REL	RTL8C
POLR2A	NUDT21
MTHFD1L	CTPS1
SPTA1	GADD45GIP1
