#tail	head
MYH6	ACTG2
TYR	GSTM2
TYR	APP
TYR	FN1
ACTG2	MYL6B
ACTG2	RPL13A
HACD2	FAM209A
MYL6B	APP
KRT75	POLR3C
C4orf46	CDR2
C4orf46	BLOC1S6
C4orf46	PICK1
PRKN	YWHAE
RPL13A	RNPS1
COLGALT1	FBXO6
BRCC3	UBE2V2
INPP4A	CD81
ENTPD3	PIGA
ENTPD3	NME6
PPARGC1A	PRKAG3
CCDC172	HGS
DLG3	TEAD4
ATP6V0A2	NME6
PIGA	SLC31A1
PIGA	NME6
LDHD	CNOT8
LDHD	HAGH
LDHD	PMPCB
CEP44	OR3A2
CEP44	FAM71E2
CEP44	POLR3C
YWHAG	FN1
YWHAG	YWHAB
YWHAG	EDC3
YWHAG	RALGPS2
CPNE6	TRPM3
CDR2	TTR
CDR2	TEAD4
AP2M1	PJA1
AP2M1	INPP5D
TTR	TMEM115
TTR	OR3A2
TTR	CST3
RALGPS2	YWHAB
RALGPS2	INPP5E
RALGPS2	APP
HGS	APP
HGS	TTC41P
HGS	ANKRD55
HGS	STX12
PJA1	UBE2V2
STX12	TGOLN2
OR3A2	FAM71E2
OR3A2	CST3
APP	HAGH
APP	YWHAB
APP	POLR3C
MAGI1	INPP5E
NME6	HAGH
HAGH	GSTM2
TEAD4	FN1
FN1	YWHAE
FN1	TMEM115
SPINT1	YWHAE
CEP164	NUMA1
TGOLN2	INPP5D
TGOLN2	XPOT
INPP5E	YWHAE
FBXO6	XPOT
FBXO6	YWHAE
FBXO6	UBE2V2
THOC5	DDX23
ARFGAP1	INPP5D
