#tail	head
CCDC36	DGCR6
INHBC	FOXO4
FOXO4	KLC4
PBX4	MAGOHB
TGFB2	BMP3
SLC7A1	TMEM120B
MRPS7	RPS15A
SLX4	SART1
TGM2	CALM1
SLC9A1	MDFI
GRM5	INHBE
GRSF1	MRPS22
TMEM120B	NCLN
SLC30A8	TMEM237
GABARAP	CTPS1
ZNF408	AMER1
INHBE	AGTR1
AGBL4	STAT5A
ADAMTS3	NOG
COLEC12	EGR2
ATP4B	SUCLA2
FRMD3	REEP4
AMER1	PSMA6
CDCP1	FGA
ABCB1	PNP
SPERT	CNNM3
ANKRD33	USHBP1
NTRK1	ACP1
RPL35A	RPS15A
LATS2	NOG
MBD3	PRKAR1B
SPARC	NOG
SLC6A3	SLC6A4
ACP1	GAPDHS
ACP1	IGF1R
STAT5A	GPATCH4
STAT5A	IKBKE
MAGOH	RPL32
IL16	DRD2
EMC2	TMEM237
TMSB4X	PTK2
ITGA5	COL2A1
SLC1A2	SLC17A2
COX5B	PRKAR1B
ATP6V1C1	NOG
SET	ANXA7
SET	EPRS
SET	NME2
DRD2	PLG
SLC18A2	PTK2
AGTRAP	FGA
PTK2	ACTBL2
PTK2	AFDN
WWC3	FTSJ1
SLC4A4	DLG4
DLK1	NOG
RALY	SART1
RPS15A	RPL15
CSNK1D	RPS12
RPS12	EBNA1BP2
RPS12	RPS4X
PSMG1	PRKAR1B
STK16	ZNF330
RPL32	RPL10
