#tail	head
CREB3L1	GTF2A1
ALX1	PAK3
MYL12A	BRCA1
MYL12A	EFTUD2
MYL12A	PAK3
ELAVL1	LARP4
ELAVL1	RUNX1T1
ELAVL1	PTK2
ELAVL1	INPP4B
LPL	SGMS1
GTF2A1	HMG20B
TUBB6	EFTUD2
UBTF	HIST2H2AC
CXCL12	APP
CXCL12	PIK3CA
NRF1	DDX3X
THOC1	XAB2
POLR2B	HIST1H4E
POLR2B	UBB
NOL9	SIRT7
RPA2	PELP1
RPA2	DDX3X
SPHK2	ACER2
PRL	GSN
PRL	GUCY1A1
PRL	BRCA1
UBB	MINDY3
UBB	XAB2
UBB	NOS2
UBB	APP
SULT1E1	PTK2
HIST2H2AB	HMG20B
SMPD3	ACER2
PAK3	ETS2
SSH2	JAK3
FOXN1	DNAJB4
MTMR2	SBF2
SGMS1	JAK3
FTO	ZMAT3
SIRT7	LARP4
BRCA1	CCNT1
DDX3X	EFTUD2
HIST1H4E	HIST2H2AC
JAK3	ERBB3
JAK3	DUSP5
APP	NOS2
APP	LARP4
APP	HMG20B
APP	ZMAT3
GNB4	GNB2
CACNG2	CPNE7
LEF1	CCL25
LEF1	SORD
LEF1	DNAJB4
LEF1	HBP1
AXL	DUSP5
DNAJB4	EFTUD2
SBF2	ETS2
ZNF12	ETS2
PIK3CA	GNB2
HIST2H2AC	EFTUD2
