#tail	head
DDIT3	GABBR2
ASNA1	KCNE5
ACTG2	ACTN2
ACTG2	NEFL
ACTG2	SRC
VCL	FAM114A2
VCL	ACTC1
VCL	RAVER1
VCL	CACNA1B
VCL	SRC
VCL	SEC13
PMS1	PTTG1
TJP2	PGAM5
TJP2	SRC
TJP2	SEPT2
UBE2L3	SEPT2
EPRS	SEC13
MTHFD2L	MTFMT
OR10H3	GNAL
HMGCS1	VDR
MYLIP	PAX9
AURKA	PSMA6
CYP26B1	SP1
ANG	SP1
HNRNPLL	RAVER1
HNRNPLL	MCM9
KCNH2	HSPA7
HMGN2	EGR1
LDHB	SEPT2
LDHB	SEC13
LDHB	FRRS1
ACTC1	SEC13
ACTC1	SRC
EGR1	FAF1
CYP2C9	KEAP1
MARS	DUX4
SEPT2	SEC13
SP1	SNX11
SP1	RAVER1
ASB12	DHX36
NAPA	SRC
REEP6	OR1F2P
SRC	SDHA
LDHAL6B	SDHA
GNAI1	NEFL
GNAI1	GNAL
GET4	KEAP1
TRIP4	CIT
OR1F2P	GNAL
GFPT2	SLC38A2
