#tail	head
RIPK4	ALG1
VCAN	VDR
VCAN	PGK1
VCAN	GCM1
SNRNP40	MAX
SNRNP40	RBM17
SNRNP40	RBM5
SNRNP40	SUGP1
RPS21	MAX
RPS21	HIST1H3C
RPS21	EPB41
RPS21	UBA52
RBM17	HIST1H3C
RBM17	RBM5
RBM17	SUGP1
MAP2K3	NFIL3
MAP2K3	MAD2L2
GCM1	WNT5A
GCM1	RBM5
PGK1	NFIL3
PGK1	MYH9
SUGP1	RBM5
AGT	NFIL3
AGT	WNT5A
AGT	VDR
EPN2	NFIL3
EPN2	UBA52
EPN2	WNT5A
RBM5	VDR
ALG1	MAD2L2
MAX	EPB41
MAX	WNT5A
MAX	TENM1
NFIL3	EPB41
HIST1H4H	UBA52
HIST1H4H	HIST1H3C
HIST1H4H	WNT5A
MYH9	EPB41
TENM1	MBD1
MBD1	HIST1H3C
MAD2L2	UBA52
EPB41	VDR
VDR	WNT5A
UBA52	WNT5A
