#tail	head
NCBP2	RPS25
PTPN11	TNNI3K
PTPN11	CD3G
PTPN11	DDX58
CD3G	JUN
CD3G	ESR2
CD3G	SLC24A2
ITGB1BP2	PARP1
MTUS2	SLC25A42
ELOA3B	SUPT4H1
CDK15	FCHSD1
FZD5	VEGFC
FASLG	PIN1
ARID4A	ING1
SLBP	EDC3
SLBP	EIF3J
GSR	RB1
GSR	SIRT1
GSR	JUN
INTS10	POLR2C
INTS10	CDK7
PARP1	PTH
PARP1	ABCG2
PARP1	RFC4
TMEM173	SEC61A1
ESR2	MAPK1
ESR2	POLR2C
RPS25	RPL24
RPS25	RPS17
SIK2	PRKAA1
ABCG2	PRKAA1
KCTD15	VSX1
PUDP	CNDP2
PTPRN2	STYK1
ETS1	JUN
ETS1	FCHO1
PIN1	JUN
PIN1	STIL
POLR2C	POLR2K
POLR2C	TAF1
VSX1	TFAP2A
RHOXF2	CCDC102B
RHOXF2	MSX2
SLN	CLIC2
KRT16	SLC39A1
SEC61A1	RPS4Y1
JUN	TMEM40
JUN	TAF1
POLR2K	TAF1
POLR2K	INTS2
SAMD4A	AKAP8L
TANK	DDX58
SH3KBP1	ZFP36
CDK7	PTPRT
PTF1A	FOXO3
ZFP36	PSEN1
RPL36	TAF1
AKAP8L	HNF4A
PTH	HNF4A
PTH	MZF1
MAPK1	FOXO3
FGA	NGB
