#tail	head
DDIT3	GABPA
NCOR2	FBXO22
MEP1A	LEF1
LCK	GNG13
CYSRT1	BSCL2
SFTPC	BACH2
LAMC2	COL6A1
LAMC2	MMP14
UBE2M	FBXO22
GABPA	PER2
GABPA	LRRC29
GNG13	TAC1
GNG13	TLR9
GNG13	GNAS
GNG13	PDCL
NEPRO	ALAD
CUL4B	FKBP8
BCAR3	LEF1
DCN	HIST1H4J
GRK3	GNB3
SET	AP1M1
SET	EPB41L5
SUV39H1	TAL1
BACH2	LEF1
PADI4	HIST1H4J
PDCL	GNG3
ASB5	UBE2D4
ALAD	GNAS
KLHL40	LRRC29
PTH1R	AR
NAP1L1	GNAS
PRKAB1	CAMKK2
PRKAB1	AP1M1
LEF1	LIX1
LEF1	PTCH1
LEF1	VIP
GNB3	GNAS
GNB3	GNG3
PRLR	IFNAR1
PRLR	TAC1
CUL1	UBE2D4
CUL1	PML
CUL1	HSPA5
GNGT1	HTR6
GNGT1	GPR176
HTR6	XPOT
