#tail	head
GCFC2	DHX16
DNASE2B	MEIS1
HIST2H2AA4	HIST1H2BO
HIST2H2AA4	PARP1
PYGB	PC
PRKN	TNF
HSD17B2	NOTCH1
HSD17B2	POLR2A
HSD17B2	MMP7
MMP7	CDX2
HIST1H2BA	BCL9
HIST1H2BA	HOXD1
MEIS1	POLR2K
MEIS1	HIST1H3J
MEIS1	HIST1H2BC
HIST1H3J	SAP30BP
HIST1H3J	STAG1
HIST1H3J	SMARCA4
DHX16	CPSF3
DHX16	PQBP1
TNF	MMP3
TNF	PSMD10
TNF	JAK1
TNF	IRF1
TNF	HSD17B4
TNF	POLR2A
PQBP1	NUDT21
PQBP1	HNRNPU
PQBP1	XAB2
BCL9	TCF7L1
BCL9	HIST1H2BD
BCL9	SMARCA4
NUDT11	PNP
MAPK14	HIST1H2BC
MAPK14	SGTA
IRF1	IFNA13
IRF1	ACIN1
IRF1	STAG1
IRF1	TAP1
HSD17B4	PARP1
CDX2	SMARCA4
TP73	POLR2A
PARP1	CFLAR
PARP1	PNP
PARP1	SLC30A9
PSMG2	POLR2A
SLC5A1	SLC30A9
POLR2A	POLR2K
POLR2A	CYTH2
